fold,demand_type,level,grouping_columns,training_start,training_end,test_start,test_end,training_end_before_test,manual_scale_rows,stored_scale_rows,all_series_keys_match,missing_scale_patterns_match,all_scales_match,maximum_scale_difference,positive_weight_invalid_scales
1,intermittent,L1_Total,Total,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,1,1,True,True,True,0.0,0
1,intermittent,L2_State,state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,intermittent,L3_Store,store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,10,10,True,True,True,0.0,0
1,intermittent,L4_Category,cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,intermittent,L5_Department,dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,7,7,True,True,True,0.0,0
1,intermittent,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,9,9,True,True,True,0.0,0
1,intermittent,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,21,21,True,True,True,0.0,0
1,intermittent,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,30,30,True,True,True,0.0,0
1,intermittent,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,60,60,True,True,True,0.0,0
1,intermittent,L10_Item,item_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,191,191,True,True,True,0.0,0
1,intermittent,L11_Item_State,item_id|state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,198,198,True,True,True,0.0,0
1,intermittent,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,200,200,True,True,True,0.0,0
1,lumpy,L1_Total,Total,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,1,1,True,True,True,0.0,0
1,lumpy,L2_State,state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,lumpy,L3_Store,store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,10,10,True,True,True,0.0,0
1,lumpy,L4_Category,cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,3,3,True,True,True,0.0,0
1,lumpy,L5_Department,dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,7,7,True,True,True,0.0,0
1,lumpy,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,9,9,True,True,True,0.0,0
1,lumpy,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,21,21,True,True,True,0.0,0
1,lumpy,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,30,30,True,True,True,0.0,0
1,lumpy,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,59,59,True,True,True,0.0,0
1,lumpy,L10_Item,item_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,182,182,True,True,True,0.0,0
1,lumpy,L11_Item_State,item_id|state_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,197,197,True,True,True,0.0,0
1,lumpy,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-03,2016-01-04,2016-01-31,True,200,200,True,True,True,0.0,0
2,smooth,L1_Total,Total,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,1,1,True,True,True,0.0,0
2,smooth,L2_State,state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,smooth,L3_Store,store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,10,10,True,True,True,0.0,0
2,smooth,L4_Category,cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,smooth,L5_Department,dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,5,5,True,True,True,0.0,0
2,smooth,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,9,9,True,True,True,0.0,0
2,smooth,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,14,14,True,True,True,0.0,0
2,smooth,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,29,29,True,True,True,0.0,0
2,smooth,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,39,39,True,True,True,0.0,0
2,smooth,L10_Item,item_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,142,142,True,True,True,0.0,0
2,smooth,L11_Item_State,item_id|state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,180,180,True,True,True,0.0,0
2,smooth,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,200,200,True,True,True,0.0,0
2,erratic,L1_Total,Total,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,1,1,True,True,True,0.0,0
2,erratic,L2_State,state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,erratic,L3_Store,store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,10,10,True,True,True,0.0,0
2,erratic,L4_Category,cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,erratic,L5_Department,dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,5,5,True,True,True,0.0,0
2,erratic,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,9,9,True,True,True,0.0,0
2,erratic,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,15,15,True,True,True,0.0,0
2,erratic,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,25,25,True,True,True,0.0,0
2,erratic,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,39,39,True,True,True,0.0,0
2,erratic,L10_Item,item_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,119,119,True,True,True,0.0,0
2,erratic,L11_Item_State,item_id|state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,171,171,True,True,True,0.0,0
2,erratic,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,200,200,True,True,True,0.0,0
2,intermittent,L1_Total,Total,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,1,1,True,True,True,0.0,0
2,intermittent,L2_State,state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,intermittent,L3_Store,store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,10,10,True,True,True,0.0,0
2,intermittent,L4_Category,cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,intermittent,L5_Department,dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,7,7,True,True,True,0.0,0
2,intermittent,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,9,9,True,True,True,0.0,0
2,intermittent,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,21,21,True,True,True,0.0,0
2,intermittent,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,30,30,True,True,True,0.0,0
2,intermittent,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,60,60,True,True,True,0.0,0
2,intermittent,L10_Item,item_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,191,191,True,True,True,0.0,0
2,intermittent,L11_Item_State,item_id|state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,198,198,True,True,True,0.0,0
2,intermittent,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,200,200,True,True,True,0.0,0
2,lumpy,L1_Total,Total,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,1,1,True,True,True,0.0,0
2,lumpy,L2_State,state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,lumpy,L3_Store,store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,10,10,True,True,True,0.0,0
2,lumpy,L4_Category,cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,3,3,True,True,True,0.0,0
2,lumpy,L5_Department,dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,7,7,True,True,True,0.0,0
2,lumpy,L6_State_Category,state_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,9,9,True,True,True,0.0,0
2,lumpy,L7_State_Department,state_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,21,21,True,True,True,0.0,0
2,lumpy,L8_Store_Category,store_id|cat_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,30,30,True,True,True,0.0,0
2,lumpy,L9_Store_Department,store_id|dept_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,59,59,True,True,True,0.0,0
2,lumpy,L10_Item,item_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,182,182,True,True,True,0.0,0
2,lumpy,L11_Item_State,item_id|state_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,197,197,True,True,True,0.0,0
2,lumpy,L12_Item_Store,item_id|store_id,2011-01-29,2016-01-31,2016-02-01,2016-02-28,True,200,200,True,True,True,0.0,0
3,smooth,L1_Total,Total,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,1,1,True,True,True,0.0,0
3,smooth,L2_State,state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,smooth,L3_Store,store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,10,10,True,True,True,0.0,0
3,smooth,L4_Category,cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,smooth,L5_Department,dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,5,5,True,True,True,0.0,0
3,smooth,L6_State_Category,state_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,9,9,True,True,True,0.0,0
3,smooth,L7_State_Department,state_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,14,14,True,True,True,0.0,0
3,smooth,L8_Store_Category,store_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,29,29,True,True,True,0.0,0
3,smooth,L9_Store_Department,store_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,39,39,True,True,True,0.0,0
3,smooth,L10_Item,item_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,142,142,True,True,True,0.0,0
3,smooth,L11_Item_State,item_id|state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,180,180,True,True,True,0.0,0
3,smooth,L12_Item_Store,item_id|store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,200,200,True,True,True,0.0,0
3,erratic,L1_Total,Total,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,1,1,True,True,True,0.0,0
3,erratic,L2_State,state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,erratic,L3_Store,store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,10,10,True,True,True,0.0,0
3,erratic,L4_Category,cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,erratic,L5_Department,dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,5,5,True,True,True,0.0,0
3,erratic,L6_State_Category,state_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,9,9,True,True,True,0.0,0
3,erratic,L7_State_Department,state_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,15,15,True,True,True,0.0,0
3,erratic,L8_Store_Category,store_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,25,25,True,True,True,0.0,0
3,erratic,L9_Store_Department,store_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,39,39,True,True,True,0.0,0
3,erratic,L10_Item,item_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,119,119,True,True,True,0.0,0
3,erratic,L11_Item_State,item_id|state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,171,171,True,True,True,0.0,0
3,erratic,L12_Item_Store,item_id|store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,200,200,True,True,True,0.0,0
3,intermittent,L1_Total,Total,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,1,1,True,True,True,0.0,0
3,intermittent,L2_State,state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,intermittent,L3_Store,store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,10,10,True,True,True,0.0,0
3,intermittent,L4_Category,cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,intermittent,L5_Department,dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,7,7,True,True,True,0.0,0
3,intermittent,L6_State_Category,state_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,9,9,True,True,True,0.0,0
3,intermittent,L7_State_Department,state_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,21,21,True,True,True,0.0,0
3,intermittent,L8_Store_Category,store_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,30,30,True,True,True,0.0,0
3,intermittent,L9_Store_Department,store_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,60,60,True,True,True,0.0,0
3,intermittent,L10_Item,item_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,191,191,True,True,True,0.0,0
3,intermittent,L11_Item_State,item_id|state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,198,198,True,True,True,0.0,0
3,intermittent,L12_Item_Store,item_id|store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,200,200,True,True,True,0.0,0
3,lumpy,L1_Total,Total,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,1,1,True,True,True,0.0,0
3,lumpy,L2_State,state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,lumpy,L3_Store,store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,10,10,True,True,True,0.0,0
3,lumpy,L4_Category,cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,3,3,True,True,True,0.0,0
3,lumpy,L5_Department,dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,7,7,True,True,True,0.0,0
3,lumpy,L6_State_Category,state_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,9,9,True,True,True,0.0,0
3,lumpy,L7_State_Department,state_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,21,21,True,True,True,0.0,0
3,lumpy,L8_Store_Category,store_id|cat_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,30,30,True,True,True,0.0,0
3,lumpy,L9_Store_Department,store_id|dept_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,59,59,True,True,True,0.0,0
3,lumpy,L10_Item,item_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,182,182,True,True,True,0.0,0
3,lumpy,L11_Item_State,item_id|state_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,197,197,True,True,True,0.0,0
3,lumpy,L12_Item_Store,item_id|store_id,2011-01-29,2016-02-28,2016-02-29,2016-03-27,True,200,200,True,True,True,0.0,0
4,smooth,L1_Total,Total,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,1,1,True,True,True,0.0,0
4,smooth,L2_State,state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,smooth,L3_Store,store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,10,10,True,True,True,0.0,0
4,smooth,L4_Category,cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,smooth,L5_Department,dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,5,5,True,True,True,0.0,0
4,smooth,L6_State_Category,state_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,9,9,True,True,True,0.0,0
4,smooth,L7_State_Department,state_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,14,14,True,True,True,0.0,0
4,smooth,L8_Store_Category,store_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,29,29,True,True,True,0.0,0
4,smooth,L9_Store_Department,store_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,39,39,True,True,True,0.0,0
4,smooth,L10_Item,item_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,142,142,True,True,True,0.0,0
4,smooth,L11_Item_State,item_id|state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,180,180,True,True,True,0.0,0
4,smooth,L12_Item_Store,item_id|store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,200,200,True,True,True,0.0,0
4,erratic,L1_Total,Total,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,1,1,True,True,True,0.0,0
4,erratic,L2_State,state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,erratic,L3_Store,store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,10,10,True,True,True,0.0,0
4,erratic,L4_Category,cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,erratic,L5_Department,dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,5,5,True,True,True,0.0,0
4,erratic,L6_State_Category,state_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,9,9,True,True,True,0.0,0
4,erratic,L7_State_Department,state_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,15,15,True,True,True,0.0,0
4,erratic,L8_Store_Category,store_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,25,25,True,True,True,0.0,0
4,erratic,L9_Store_Department,store_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,39,39,True,True,True,0.0,0
4,erratic,L10_Item,item_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,119,119,True,True,True,0.0,0
4,erratic,L11_Item_State,item_id|state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,171,171,True,True,True,0.0,0
4,erratic,L12_Item_Store,item_id|store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,200,200,True,True,True,0.0,0
4,intermittent,L1_Total,Total,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,1,1,True,True,True,0.0,0
4,intermittent,L2_State,state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,intermittent,L3_Store,store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,10,10,True,True,True,0.0,0
4,intermittent,L4_Category,cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,intermittent,L5_Department,dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,7,7,True,True,True,0.0,0
4,intermittent,L6_State_Category,state_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,9,9,True,True,True,0.0,0
4,intermittent,L7_State_Department,state_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,21,21,True,True,True,0.0,0
4,intermittent,L8_Store_Category,store_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,30,30,True,True,True,0.0,0
4,intermittent,L9_Store_Department,store_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,60,60,True,True,True,0.0,0
4,intermittent,L10_Item,item_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,191,191,True,True,True,0.0,0
4,intermittent,L11_Item_State,item_id|state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,198,198,True,True,True,0.0,0
4,intermittent,L12_Item_Store,item_id|store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,200,200,True,True,True,0.0,0
4,lumpy,L1_Total,Total,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,1,1,True,True,True,0.0,0
4,lumpy,L2_State,state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,lumpy,L3_Store,store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,10,10,True,True,True,0.0,0
4,lumpy,L4_Category,cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,3,3,True,True,True,0.0,0
4,lumpy,L5_Department,dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,7,7,True,True,True,0.0,0
4,lumpy,L6_State_Category,state_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,9,9,True,True,True,0.0,0
4,lumpy,L7_State_Department,state_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,21,21,True,True,True,0.0,0
4,lumpy,L8_Store_Category,store_id|cat_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,30,30,True,True,True,0.0,0
4,lumpy,L9_Store_Department,store_id|dept_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,59,59,True,True,True,0.0,0
4,lumpy,L10_Item,item_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,182,182,True,True,True,0.0,0
4,lumpy,L11_Item_State,item_id|state_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,197,197,True,True,True,0.0,0
4,lumpy,L12_Item_Store,item_id|store_id,2011-01-29,2016-03-27,2016-03-28,2016-04-24,True,200,200,True,True,True,0.0,0
5,smooth,L1_Total,Total,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,1,1,True,True,True,0.0,0
5,smooth,L2_State,state_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,3,3,True,True,True,0.0,0
5,smooth,L3_Store,store_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,10,10,True,True,True,0.0,0
5,smooth,L4_Category,cat_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,3,3,True,True,True,0.0,0
5,smooth,L5_Department,dept_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,5,5,True,True,True,0.0,0
5,smooth,L6_State_Category,state_id|cat_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,9,9,True,True,True,0.0,0
5,smooth,L7_State_Department,state_id|dept_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,14,14,True,True,True,0.0,0
5,smooth,L8_Store_Category,store_id|cat_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,29,29,True,True,True,0.0,0
5,smooth,L9_Store_Department,store_id|dept_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,39,39,True,True,True,0.0,0
5,smooth,L10_Item,item_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,142,142,True,True,True,0.0,0
5,smooth,L11_Item_State,item_id|state_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,180,180,True,True,True,0.0,0
5,smooth,L12_Item_Store,item_id|store_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,200,200,True,True,True,0.0,0
5,erratic,L1_Total,Total,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,1,1,True,True,True,0.0,0
5,erratic,L2_State,state_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,3,3,True,True,True,0.0,0
5,erratic,L3_Store,store_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,10,10,True,True,True,0.0,0
5,erratic,L4_Category,cat_id,2011-01-29,2016-04-24,2016-04-25,2016-05-22,True,3,3,True,True,True,0.0,0
