d,CA,TX,WI,date,CA_rolling_28,TX_rolling_28,WI_rolling_28
d_50,14509,8203,7887,2011-03-19,11100.392857142857,7500.75,6573.107142857143
d_51,14112,8992,6539,2011-03-20,11123.5,7472.285714285715,6591.321428571428
d_52,10255,7075,5771,2011-03-21,11061.285714285714,7464.357142857143,6630.571428571428
d_53,9383,6086,5023,2011-03-22,11070.32142857143,7445.0,6640.571428571428
d_54,8490,5914,4826,2011-03-23,11054.214285714286,7448.571428571428,6598.571428571428
d_55,7889,5898,5067,2011-03-24,11031.892857142857,7438.678571428572,6579.964285714285
d_56,11011,6249,6090,2011-03-25,11073.464285714286,7437.357142857143,6569.035714285715
d_57,13816,8072,7732,2011-03-26,11079.32142857143,7419.0,6571.25
d_58,13661,9434,6771,2011-03-27,11121.107142857143,7431.428571428572,6558.428571428572
d_59,9997,6429,5023,2011-03-28,11149.714285714286,7426.928571428572,6541.785714285715
d_60,8516,5728,5337,2011-03-29,11104.5,7378.571428571428,6517.821428571428
d_61,8911,5384,4633,2011-03-30,11082.142857142857,7351.392857142857,6456.0
d_62,10059,6096,5587,2011-03-31,11094.607142857143,7332.0,6401.035714285715
d_63,12827,7992,7490,2011-04-01,11179.714285714286,7382.285714285715,6434.821428571428
d_64,14791,9134,9553,2011-04-02,11215.67857142857,7378.571428571428,6483.857142857143
d_65,15341,9863,7854,2011-04-03,11190.107142857143,7358.571428571428,6464.5
d_66,12356,6648,5848,2011-04-04,11240.214285714286,7323.75,6459.571428571428
d_67,10497,6743,6341,2011-04-05,11247.285714285714,7338.321428571428,6467.535714285715
d_68,10101,6689,5866,2011-04-06,11252.642857142857,7329.321428571428,6474.607142857143
d_69,10575,7201,5125,2011-04-07,11272.75,7360.107142857143,6433.535714285715
d_70,10971,6797,6986,2011-04-08,11264.964285714286,7345.607142857143,6426.607142857143
d_71,14064,9025,8656,2011-04-09,11277.607142857143,7336.821428571428,6405.607142857143
d_72,15291,9648,6597,2011-04-10,11311.57142857143,7340.607142857143,6372.107142857143
d_73,11098,7555,6176,2011-04-11,11325.0,7333.821428571428,6361.678571428572
d_74,9181,7302,6735,2011-04-12,11321.0,7314.821428571428,6356.0
d_75,8853,7202,5556,2011-04-13,11288.892857142857,7330.321428571428,6331.392857142857
d_76,9430,6338,6196,2011-04-14,11286.25,7315.285714285715,6355.678571428572
d_77,10922,7749,6811,2011-04-15,11318.107142857143,7337.357142857143,6359.857142857143
d_78,12809,8573,7852,2011-04-16,11257.392857142857,7350.571428571428,6358.607142857143
d_79,13894,9248,6645,2011-04-17,11249.607142857143,7359.714285714285,6362.392857142857
d_80,9955,7218,5216,2011-04-18,11238.892857142857,7364.821428571428,6342.571428571428
d_81,8930,6133,4411,2011-04-19,11222.714285714286,7366.5,6320.714285714285
d_82,8582,6387,5219,2011-04-20,11226.0,7383.392857142857,6334.75
d_83,8986,5677,5105,2011-04-21,11265.17857142857,7375.5,6336.107142857143
d_84,10967,7542,5770,2011-04-22,11263.607142857143,7421.678571428572,6324.678571428572
d_85,13577,8833,7165,2011-04-23,11255.07142857143,7448.857142857143,6304.428571428572
d_86,11721,7897,4400,2011-04-24,11185.785714285714,7393.964285714285,6219.75
d_87,8865,6339,4800,2011-04-25,11145.357142857143,7390.75,6211.785714285715
d_88,8176,5535,4402,2011-04-26,11133.214285714286,7383.857142857143,6178.392857142857
d_89,8135,5369,4425,2011-04-27,11105.5,7383.321428571428,6170.964285714285
d_90,7951,5372,4822,2011-04-28,11030.214285714286,7357.464285714285,6143.642857142857
d_91,9730,6432,6573,2011-04-29,10919.607142857143,7301.75,6110.892857142857
d_92,12428,8240,7433,2011-04-30,10835.214285714286,7269.821428571428,6035.178571428572
d_93,12997,9644,6404,2011-05-01,10751.5,7262.0,5983.392857142857
d_94,10657,6125,6055,2011-05-02,10690.82142857143,7243.321428571428,5990.785714285715
d_95,10669,6937,6474,2011-05-03,10696.964285714286,7250.25,5995.535714285715
d_96,9596,5771,5394,2011-05-04,10678.92857142857,7217.464285714285,5978.678571428572
d_97,9281,6372,5531,2011-05-05,10632.714285714286,7187.857142857143,5993.178571428572
d_98,10617,7924,5945,2011-05-06,10620.07142857143,7228.107142857143,5956.0
d_99,12386,8863,7163,2011-05-07,10560.142857142857,7222.321428571428,5902.678571428572
d_100,11231,7440,5017,2011-05-08,10415.142857142857,7143.464285714285,5846.25
d_101,11264,8001,5759,2011-05-09,10421.07142857143,7159.392857142857,5831.357142857143
d_102,10430,6523,5278,2011-05-10,10465.67857142857,7131.571428571428,5779.321428571428
d_103,9570,6755,5840,2011-05-11,10491.285714285714,7115.607142857143,5789.464285714285
d_104,9312,6708,6393,2011-05-12,10487.07142857143,7128.821428571428,5796.5
d_105,10978,8231,6439,2011-05-13,10489.07142857143,7146.035714285715,5783.214285714285
d_106,12496,8663,7577,2011-05-14,10477.892857142857,7149.25,5773.392857142857
d_107,13549,10237,7534,2011-05-15,10465.57142857143,7184.571428571428,5805.142857142857
d_108,9542,7141,5530,2011-05-16,10450.82142857143,7181.821428571428,5816.357142857143
d_109,8492,6179,4942,2011-05-17,10435.17857142857,7183.464285714285,5835.321428571428
d_110,8258,5787,4725,2011-05-18,10423.607142857143,7162.035714285715,5817.678571428572
d_111,8410,5680,4594,2011-05-19,10403.035714285714,7162.142857142857,5799.428571428572
d_112,9809,6337,5503,2011-05-20,10361.67857142857,7119.107142857143,5789.892857142857
d_113,12007,8288,6817,2011-05-21,10305.607142857143,7099.642857142857,5777.464285714285
d_114,12301,8518,5427,2011-05-22,10326.32142857143,7121.821428571428,5814.142857142857
d_115,9346,6545,5063,2011-05-23,10343.5,7129.178571428572,5823.535714285715
d_116,8541,5813,4849,2011-05-24,10356.535714285714,7139.107142857143,5839.5
d_117,8835,5958,4265,2011-05-25,10381.535714285714,7160.142857142857,5833.785714285715
d_118,9176,6283,5021,2011-05-26,10425.285714285714,7192.678571428572,5840.892857142857
d_119,10231,6343,5907,2011-05-27,10443.17857142857,7189.5,5817.107142857143
d_120,10959,8286,6282,2011-05-28,10390.714285714286,7191.142857142857,5776.0
d_121,11115,7251,5083,2011-05-29,10323.5,7105.678571428572,5728.821428571428
d_122,10768,7152,4618,2011-05-30,10327.464285714286,7142.357142857143,5677.5
d_123,8743,5865,4947,2011-05-31,10258.67857142857,7104.071428571428,5622.964285714285
d_124,9662,7780,5723,2011-06-01,10261.035714285714,7175.821428571428,5634.714285714285
d_125,9889,6662,6130,2011-06-02,10282.75,7186.178571428572,5656.107142857143
d_126,11788,8130,6863,2011-06-03,10324.57142857143,7193.535714285715,5688.892857142857
d_127,13730,8753,7827,2011-06-04,10372.57142857143,7189.607142857143,5712.607142857143
d_128,13997,9712,7895,2011-06-05,10471.357142857143,7270.75,5815.392857142857
d_129,11171,8655,6859,2011-06-06,10468.035714285714,7294.107142857143,5854.678571428572
d_130,10489,7955,6645,2011-06-07,10470.142857142857,7345.25,5903.5
d_131,10606,7409,6438,2011-06-08,10507.142857142857,7368.607142857143,5924.857142857143
d_132,10266,7772,6744,2011-06-09,10541.214285714286,7406.607142857143,5937.392857142857
d_133,12188,7823,6408,2011-06-10,10584.42857142857,7392.035714285715,5936.285714285715
d_134,12534,9628,7778,2011-06-11,10585.785714285714,7426.5,5943.464285714285
d_135,13616,10570,6908,2011-06-12,10588.17857142857,7438.392857142857,5921.107142857143
d_136,11284,8731,5737,2011-06-13,10650.392857142857,7495.178571428572,5928.5
d_137,10400,7320,6435,2011-06-14,10718.535714285714,7535.928571428572,5981.821428571428
d_138,10380,8142,6736,2011-06-15,10794.32142857143,7620.035714285715,6053.642857142857
d_139,9936,6941,5829,2011-06-16,10848.82142857143,7665.071428571428,6097.75
d_140,10661,7876,6175,2011-06-17,10879.25,7720.035714285715,6121.75
d_141,12745,9080,7000,2011-06-18,10905.607142857143,7748.321428571428,6128.285714285715
d_142,11822,8521,5763,2011-06-19,10888.5,7748.428571428572,6140.285714285715
d_143,11173,7684,5404,2011-06-20,10953.75,7789.107142857143,6152.464285714285
d_144,10049,6636,5125,2011-06-21,11007.607142857143,7818.5,6162.321428571428
d_145,10125,5859,5417,2011-06-22,11053.67857142857,7814.964285714285,6203.464285714285
d_146,10442,7007,5331,2011-06-23,11098.892857142857,7840.821428571428,6214.535714285715
d_147,11207,7327,6104,2011-06-24,11133.75,7875.964285714285,6221.571428571428
d_148,12037,8300,6145,2011-06-25,11172.25,7876.464285714285,6216.678571428572
d_149,13032,9188,5448,2011-06-26,11240.714285714286,7945.642857142857,6229.714285714285
d_150,10458,7157,5027,2011-06-27,11229.642857142857,7945.821428571428,6244.321428571428
d_151,8483,6520,4797,2011-06-28,11220.357142857143,7969.214285714285,6238.964285714285
d_152,8956,6162,4812,2011-06-29,11195.142857142857,7911.428571428572,6206.428571428572
d_153,9822,6353,5276,2011-06-30,11192.75,7900.392857142857,6175.928571428572
d_154,13455,9592,7986,2011-07-01,11252.285714285714,7952.607142857143,6216.035714285715
d_155,14988,9559,8454,2011-07-02,11297.214285714286,7981.392857142857,6238.428571428572
d_156,13502,9194,6477,2011-07-03,11279.535714285714,7962.892857142857,6187.785714285715
d_157,10583,7983,4467,2011-07-04,11258.535714285714,7938.892857142857,6102.357142857143
d_158,11916,8431,6249,2011-07-05,11309.5,7955.892857142857,6088.214285714285
d_159,12365,7508,6729,2011-07-06,11372.32142857143,7959.428571428572,6098.607142857143
d_160,12070,8617,6040,2011-07-07,11436.75,7989.607142857143,6073.464285714285
d_161,12505,7928,7246,2011-07-08,11448.07142857143,7993.357142857143,6103.392857142857
d_162,14046,10024,8416,2011-07-09,11502.07142857143,8007.5,6126.178571428572
d_163,14520,9895,7124,2011-07-10,11534.357142857143,7983.392857142857,6133.892857142857
d_164,10926,8868,6798,2011-07-11,11521.57142857143,7988.285714285715,6171.785714285715
d_165,9697,7968,6967,2011-07-12,11496.464285714286,8011.428571428572,6190.785714285715
d_166,9553,8087,5805,2011-07-13,11466.92857142857,8009.464285714285,6157.535714285715
d_167,9800,7225,6422,2011-07-14,11462.07142857143,8019.607142857143,6178.714285714285
d_168,10931,8809,7609,2011-07-15,11471.714285714286,8052.928571428572,6229.928571428572
d_169,13438,9541,7890,2011-07-16,11496.464285714286,8069.392857142857,6261.714285714285
d_170,13484,9758,7092,2011-07-17,11555.82142857143,8113.571428571428,6309.178571428572
d_171,10834,7794,6011,2011-07-18,11543.714285714286,8117.5,6330.857142857143
d_172,9406,6577,5948,2011-07-19,11520.75,8115.392857142857,6360.25
d_173,9930,6950,5607,2011-07-20,11513.785714285714,8154.357142857143,6367.035714285715
d_174,10209,6885,5684,2011-07-21,11505.464285714286,8150.0,6379.642857142857
d_175,11621,7789,6946,2011-07-22,11520.25,8166.5,6409.714285714285
d_176,13827,9133,7324,2011-07-23,11584.17857142857,8196.25,6451.821428571428
d_177,13467,9310,6022,2011-07-24,11599.714285714286,8200.607142857143,6472.321428571428
d_178,10083,7536,5276,2011-07-25,11586.32142857143,8214.142857142857,6481.214285714285
d_179,9377,6582,5236,2011-07-26,11618.25,8216.357142857143,6496.892857142857
d_180,9379,6447,4678,2011-07-27,11633.357142857143,8226.535714285714,6492.107142857143
d_181,9548,6597,5098,2011-07-28,11623.57142857143,8235.25,6485.75
d_182,11085,7294,6163,2011-07-29,11538.92857142857,8153.178571428572,6420.642857142857
d_183,12797,8868,7288,2011-07-30,11460.67857142857,8128.5,6379.0
d_184,12841,9379,6457,2011-07-31,11437.07142857143,8135.107142857143,6378.285714285715
d_185,11381,9139,6087,2011-08-01,11465.57142857143,8176.392857142857,6436.142857142857
d_186,11236,7367,6872,2011-08-02,11441.285714285714,8138.392857142857,6458.392857142857
d_187,11280,8535,7422,2011-08-03,11402.535714285714,8175.071428571428,6483.142857142857
d_188,10499,7618,5596,2011-08-04,11346.42857142857,8139.392857142857,6467.285714285715
d_189,11494,8380,6720,2011-08-05,11310.32142857143,8155.535714285715,6448.5
d_190,13371,10505,8083,2011-08-06,11286.214285714286,8172.714285714285,6436.607142857143
d_191,14111,11146,6749,2011-08-07,11271.607142857143,8217.392857142857,6423.214285714285
d_192,11813,8302,6239,2011-08-08,11303.285714285714,8197.17857142857,6403.25
d_193,11441,8178,6594,2011-08-09,11365.57142857143,8204.67857142857,6389.928571428572
d_194,11556,7266,5756,2011-08-10,11437.107142857143,8175.357142857143,6388.178571428572
d_195,10370,7950,6388,2011-08-11,11457.464285714286,8201.25,6386.964285714285
d_196,11918,9338,7288,2011-08-12,11492.714285714286,8220.142857142857,6375.5
d_197,14227,11454,7322,2011-08-13,11520.892857142857,8288.464285714286,6355.214285714285
d_198,15256,11302,7351,2011-08-14,11584.17857142857,8343.607142857143,6364.464285714285
d_199,11723,9825,6963,2011-08-15,11615.92857142857,8416.142857142857,6398.464285714285
d_200,11037,8152,6077,2011-08-16,11674.17857142857,8472.392857142857,6403.071428571428
d_201,10163,7827,5691,2011-08-17,11682.5,8503.714285714286,6406.071428571428
d_202,10282,7770,5324,2011-08-18,11685.107142857143,8535.32142857143,6393.214285714285
d_203,11451,8829,6724,2011-08-19,11679.035714285714,8572.464285714286,6385.285714285715
d_204,14025,11170,7063,2011-08-20,11686.107142857143,8645.214285714286,6375.964285714285
d_205,15415,12340,6218,2011-08-21,11755.67857142857,8753.42857142857,6382.964285714285
d_206,11166,8584,5574,2011-08-22,11794.357142857143,8790.857142857143,6393.607142857143
d_207,10026,7483,5108,2011-08-23,11817.535714285714,8823.035714285714,6389.035714285715
d_208,9921,6530,5484,2011-08-24,11836.892857142857,8826.0,6417.821428571428
d_209,9527,6464,5423,2011-08-25,11836.142857142857,8821.25,6429.428571428572
d_210,10979,7184,6105,2011-08-26,11832.357142857143,8817.32142857143,6427.357142857143
d_211,13649,9774,6960,2011-08-27,11862.785714285714,8849.67857142857,6415.642857142857
d_212,14060,10547,6019,2011-08-28,11906.32142857143,8891.392857142857,6400.0
d_213,9890,7054,5141,2011-08-29,11853.07142857143,8816.92857142857,6366.214285714285
d_214,8931,6258,5161,2011-08-30,11770.75,8777.32142857143,6305.107142857143
d_215,9238,6378,6107,2011-08-31,11697.82142857143,8700.285714285714,6258.142857142857
d_216,10865,8827,6607,2011-09-01,11710.892857142857,8743.464285714286,6294.25
d_217,12472,8211,8525,2011-09-02,11745.82142857143,8737.42857142857,6358.714285714285
d_218,14568,10987,8477,2011-09-03,11788.57142857143,8754.642857142857,6372.785714285715
d_219,13019,7538,6368,2011-09-04,11749.57142857143,8625.785714285714,6359.178571428572
d_220,13807,9371,6980,2011-09-05,11820.785714285714,8663.964285714286,6385.642857142857
d_221,12063,7545,6526,2011-09-06,11843.0,8641.357142857143,6383.214285714285
d_222,10804,8306,5335,2011-09-07,11816.142857142857,8678.5,6368.178571428572
d_223,10879,6992,6177,2011-09-08,11834.32142857143,8644.285714285714,6360.642857142857
d_224,12294,8722,7230,2011-09-09,11847.75,8622.285714285714,6358.571428571428
d_225,14664,10427,7939,2011-09-10,11863.357142857143,8585.607142857143,6380.607142857143
d_226,15086,11559,7987,2011-09-11,11857.285714285714,8594.785714285714,6403.321428571428
d_227,10704,8492,6942,2011-09-12,11820.892857142857,8547.17857142857,6402.571428571428
d_228,10089,8996,5560,2011-09-13,11787.035714285714,8577.32142857143,6384.107142857143
d_229,9776,7365,6364,2011-09-14,11773.214285714286,8560.82142857143,6408.142857142857
d_230,10061,8914,7368,2011-09-15,11765.32142857143,8601.67857142857,6481.142857142857
d_231,11169,8672,7092,2011-09-16,11755.25,8596.07142857143,6494.285714285715
d_232,13587,10510,8098,2011-09-17,11739.607142857143,8572.5,6531.25
d_233,14843,10658,6533,2011-09-18,11719.17857142857,8512.42857142857,6542.5
d_234,11168,8065,5134,2011-09-19,11719.25,8493.892857142857,6526.785714285715
d_235,10500,7056,5119,2011-09-20,11736.17857142857,8478.642857142857,6527.178571428572
d_236,10185,6403,5208,2011-09-21,11745.607142857143,8474.107142857143,6517.321428571428
d_237,9984,6554,5321,2011-09-22,11761.92857142857,8477.32142857143,6513.678571428572
d_238,12504,7942,6260,2011-09-23,11816.392857142857,8504.392857142857,6519.214285714285
d_239,14876,10062,7528,2011-09-24,11860.214285714286,8514.67857142857,6539.5
d_240,15644,10890,6694,2011-09-25,11916.785714285714,8526.92857142857,6563.607142857143
d_241,11231,7635,5224,2011-09-26,11964.67857142857,8547.67857142857,6566.571428571428
d_242,10813,6924,5051,2011-09-27,12031.892857142857,8571.464285714286,6562.642857142857
d_243,10479,6453,5261,2011-09-28,12076.214285714286,8574.142857142857,6532.428571428572
d_244,10203,6762,5418,2011-09-29,12052.57142857143,8500.392857142857,6489.964285714285
d_245,12957,9333,7892,2011-09-30,12069.892857142857,8540.464285714286,6467.357142857143
d_246,18020,12475,8817,2011-10-01,12193.17857142857,8593.607142857143,6479.5
d_247,17094,11153,8967,2011-10-02,12338.714285714286,8722.714285714286,6572.321428571428
d_248,13097,9428,7930,2011-10-03,12313.357142857143,8724.75,6606.25
d_249,12525,7671,5918,2011-10-04,12329.857142857143,8729.25,6584.535714285715
d_250,11262,8050,6601,2011-10-05,12346.214285714286,8720.107142857143,6629.75
d_251,11009,8057,7000,2011-10-06,12350.857142857143,8758.142857142857,6659.142857142857
d_252,13365,9630,6990,2011-10-07,12389.107142857143,8790.57142857143,6650.571428571428
d_253,16599,9984,9347,2011-10-08,12458.214285714286,8774.75,6700.857142857143
d_254,16507,10106,9327,2011-10-09,12508.964285714286,8722.857142857143,6748.714285714285
d_255,13561,9623,6217,2011-10-10,12611.0,8763.25,6722.821428571428
d_256,12035,8545,6847,2011-10-11,12680.5,8747.142857142857,6768.785714285715
d_257,11066,9193,7155,2011-10-12,12726.57142857143,8812.42857142857,6797.035714285715
d_258,11244,8632,6240,2011-10-13,12768.82142857143,8802.357142857143,6756.75
d_259,13338,8488,8059,2011-10-14,12846.285714285714,8795.785714285714,6791.285714285715
d_260,16285,11799,10342,2011-10-15,12942.642857142857,8841.82142857143,6871.428571428572
d_261,16289,11864,7974,2011-10-16,12994.285714285714,8884.892857142857,6922.892857142857
d_262,12373,8841,6378,2011-10-17,13037.32142857143,8912.607142857143,6967.321428571428
d_263,10748,7826,5628,2011-10-18,13046.17857142857,8940.107142857143,6985.5
d_264,10247,7082,5112,2011-10-19,13048.392857142857,8964.357142857143,6982.071428571428
d_265,10350,6850,5202,2011-10-20,13061.464285714286,8974.92857142857,6977.821428571428
d_266,12600,7942,6588,2011-10-21,13064.892857142857,8974.92857142857,6989.535714285715
d_267,15555,9982,7614,2011-10-22,13089.142857142857,8972.07142857143,6992.607142857143
d_268,15709,10427,6740,2011-10-23,13091.464285714286,8955.535714285714,6994.25
d_269,11321,7832,5363,2011-10-24,13094.67857142857,8962.57142857143,6999.214285714285
d_270,10278,6919,5240,2011-10-25,13075.57142857143,8962.392857142857,7005.964285714285
d_271,9747,7055,5340,2011-10-26,13049.42857142857,8983.892857142857,7008.785714285715
d_272,10419,6825,5738,2011-10-27,13057.142857142857,8986.142857142857,7020.214285714285
d_273,11718,7734,7428,2011-10-28,13012.892857142857,8929.035714285714,7003.642857142857
d_274,15724,9473,8022,2011-10-29,12930.892857142857,8821.82142857143,6975.25
d_275,16057,9647,6149,2011-10-30,12893.857142857143,8768.035714285714,6874.607142857143
d_276,10191,7218,5286,2011-10-31,12790.07142857143,8689.107142857143,6780.178571428572
d_277,11094,8384,6561,2011-11-01,12738.964285714286,8714.57142857143,6803.142857142857
d_278,11227,7191,6390,2011-11-02,12737.714285714286,8683.892857142857,6795.607142857143
d_279,11972,8193,7737,2011-11-03,12772.107142857143,8688.75,6821.928571428572
d_280,13252,7868,7476,2011-11-04,12768.07142857143,8625.82142857143,6839.285714285715
d_281,16293,10807,9787,2011-11-05,12757.142857142857,8655.214285714286,6855.0
d_282,17402,11608,8877,2011-11-06,12789.107142857143,8708.857142857143,6838.928571428572
d_283,12654,8943,5681,2011-11-07,12756.714285714286,8684.57142857143,6819.785714285715
d_284,11987,6793,6408,2011-11-08,12755.0,8622.0,6804.107142857143
d_285,11442,8143,6507,2011-11-09,12768.42857142857,8584.5,6780.964285714285
d_286,12375,7213,6559,2011-11-10,12808.82142857143,8533.82142857143,6792.357142857143
d_287,13522,8425,7808,2011-11-11,12815.392857142857,8531.57142857143,6783.392857142857
d_288,15332,10782,9808,2011-11-12,12781.357142857143,8495.25,6764.321428571428
d_289,15584,11654,8110,2011-11-13,12756.17857142857,8487.75,6769.178571428572
d_290,11665,8462,6646,2011-11-14,12730.892857142857,8474.214285714286,6778.75
d_291,10860,8414,7427,2011-11-15,12734.892857142857,8495.214285714286,6843.0
d_292,10281,7426,6221,2011-11-16,12736.107142857143,8507.5,6882.607142857143
d_293,10244,7206,5664,2011-11-17,12732.32142857143,8520.214285714286,6899.107142857143
d_294,12106,7601,6800,2011-11-18,12714.67857142857,8508.035714285714,6906.678571428572
d_295,16144,9488,7913,2011-11-19,12735.714285714286,8490.392857142857,6917.357142857143
d_296,15546,10141,7066,2011-11-20,12729.892857142857,8480.17857142857,6929.0
d_297,12213,7925,5436,2011-11-21,12761.75,8483.5,6931.607142857143
d_298,12047,7813,5794,2011-11-22,12824.92857142857,8515.42857142857,6951.392857142857
d_299,13587,10465,6735,2011-11-23,12962.07142857143,8637.214285714286,7001.214285714285
d_300,7356,7361,3710,2011-11-24,12852.67857142857,8656.357142857143,6928.785714285715
d_301,10726,6790,6482,2011-11-25,12817.25,8622.642857142857,6895.0
d_302,11762,6923,6607,2011-11-26,12675.75,8531.57142857143,6844.464285714285
d_303,12714,8050,6370,2011-11-27,12556.357142857143,8474.535714285714,6852.357142857143
d_304,10501,6342,5535,2011-11-28,12567.42857142857,8443.25,6861.25
d_305,9993,6305,5286,2011-11-29,12528.107142857143,8369.0,6815.714285714285
d_306,9455,6314,5320,2011-11-30,12464.82142857143,8337.67857142857,6777.5
d_307,11572,8053,6643,2011-12-01,12450.535714285714,8332.67857142857,6738.428571428572
d_308,13326,7741,8660,2011-12-02,12453.17857142857,8328.142857142857,6780.714285714285
d_309,17353,10618,10158,2011-12-03,12491.035714285714,8321.392857142857,6793.964285714285
d_310,16724,10136,8218,2011-12-04,12466.82142857143,8268.82142857143,6770.428571428572
d_311,13173,8415,7632,2011-12-05,12485.357142857143,8249.964285714286,6840.107142857143
d_312,11773,8357,7137,2011-12-06,12477.714285714286,8305.82142857143,6866.142857142857
d_313,11594,7850,6009,2011-12-07,12483.142857142857,8295.357142857143,6848.357142857143
d_314,12133,6701,7513,2011-12-08,12474.5,8277.07142857143,6882.428571428572
d_315,12985,8401,8052,2011-12-09,12455.32142857143,8276.214285714286,6891.142857142857
d_316,16330,9205,9251,2011-12-10,12490.964285714286,8219.892857142857,6871.25
d_317,15956,11283,8504,2011-12-11,12504.25,8206.642857142857,6885.321428571428
d_318,12691,9194,7266,2011-12-12,12540.892857142857,8232.785714285714,6907.464285714285
d_319,11733,8881,6299,2011-12-13,12572.07142857143,8249.464285714286,6867.178571428572
d_320,10962,8557,7275,2011-12-14,12596.392857142857,8289.857142857143,6904.821428571428
d_321,12215,9558,7871,2011-12-15,12666.785714285714,8373.857142857143,6983.642857142857
d_322,12697,8521,7667,2011-12-16,12687.892857142857,8406.714285714286,7014.607142857143
d_323,15522,9998,8639,2011-12-17,12665.67857142857,8424.92857142857,7040.535714285715
d_324,15434,9351,7302,2011-12-18,12661.67857142857,8396.714285714286,7048.964285714285
d_325,12610,8011,6447,2011-12-19,12675.857142857143,8399.785714285714,7085.071428571428
d_326,12023,7657,6582,2011-12-20,12675.0,8394.214285714286,7113.214285714285
d_327,12182,8174,6306,2011-12-21,12624.82142857143,8312.392857142857,7097.892857142857
d_328,12706,8596,6880,2011-12-22,12815.892857142857,8356.5,7211.107142857143
d_329,15765,10177,8704,2011-12-23,12995.857142857143,8477.464285714286,7290.464285714285
d_330,12557,9803,7598,2011-12-24,13024.25,8580.32142857143,7325.857142857143
d_331,8,2,3,2011-12-25,12570.464285714286,8292.892857142857,7098.464285714285
d_332,12390,9044,6598,2011-12-26,12637.92857142857,8389.392857142857,7136.428571428572
d_333,11775,7274,5602,2011-12-27,12701.57142857143,8424.0,7147.714285714285
d_334,11737,7294,5760,2011-12-28,12783.07142857143,8459.0,7163.428571428572
d_335,11761,7139,5641,2011-12-29,12789.82142857143,8426.357142857143,7127.642857142857
d_336,15763,9371,8518,2011-12-30,12876.857142857143,8484.57142857143,7122.571428571428
d_337,14365,10491,8895,2011-12-31,12770.142857142857,8480.035714285714,7077.464285714285
d_338,10218,7224,4365,2012-01-01,12537.785714285714,8376.035714285714,6939.857142857143
