d,FOODS,HOBBIES,HOUSEHOLD,date,FOODS_rolling_28,HOUSEHOLD_rolling_28,HOBBIES_rolling_28
d_61,12891,2503,3534,2011-03-30,17409.035714285714,4728.25,2752.25
d_62,14675,3120,3947,2011-03-31,17317.35714285714,4712.857142857143,2797.4285714285716
d_63,19357,3544,5408,2011-04-01,17383.25,4748.607142857143,2864.964285714286
d_64,22603,3996,6879,2011-04-02,17366.5,4778.785714285715,2932.8214285714284
d_65,23396,3504,6158,2011-04-03,17312.464285714286,4778.285714285715,2922.4285714285716
d_66,17511,2862,4479,2011-04-04,17309.714285714286,4785.142857142857,2928.6785714285716
d_67,17253,2393,3935,2011-04-05,17344.464285714286,4784.5,2924.1785714285716
d_68,16584,2427,3645,2011-04-06,17363.928571428572,4787.321428571428,2905.3214285714284
d_69,16448,2643,3810,2011-04-07,17379.678571428572,4782.928571428572,2903.785714285714
d_70,17212,3145,4397,2011-04-08,17347.071428571428,4770.0,2920.1071428571427
d_71,22221,3501,6023,2011-04-09,17335.5,4769.035714285715,2915.5
d_72,22238,3364,5934,2011-04-10,17335.464285714286,4770.392857142857,2918.4285714285716
d_73,17589,2941,4299,2011-04-11,17325.821428571428,4760.5,2934.1785714285716
d_74,16825,2607,3786,2011-04-12,17309.428571428572,4745.178571428572,2937.214285714286
d_75,15232,2572,3807,2011-04-13,17293.25,4726.0,2931.3571428571427
d_76,15324,2674,3966,2011-04-14,17301.928571428572,4715.357142857143,2939.9285714285716
d_77,18016,2807,4659,2011-04-15,17364.39285714286,4706.714285714285,2944.214285714286
d_78,19817,3371,6046,2011-04-16,17341.178571428572,4693.0,2932.3928571428573
d_79,20547,3026,6214,2011-04-17,17350.39285714286,4694.214285714285,2927.1071428571427
d_80,15127,2790,4472,2011-04-18,17320.178571428572,4688.607142857143,2937.5
d_81,13454,2179,3841,2011-04-19,17294.39285714286,4682.464285714285,2933.0714285714284
d_82,13799,2356,4033,2011-04-20,17315.285714285714,4696.785714285715,2932.0714285714284
d_83,13741,2176,3851,2011-04-21,17343.214285714286,4707.607142857143,2925.964285714286
d_84,16889,2474,4916,2011-04-22,17393.35714285714,4717.964285714285,2898.6428571428573
d_85,20924,3058,5593,2011-04-23,17428.39285714286,4697.964285714285,2882.0
d_86,16870,2446,4702,2011-04-24,17308.428571428572,4648.035714285715,2843.035714285714
d_87,12922,2865,4217,2011-04-25,17244.785714285714,4655.535714285715,2847.5714285714284
d_88,11883,2517,3713,2011-04-26,17191.0,4652.285714285715,2852.1785714285716
d_89,11616,2515,3798,2011-04-27,17145.464285714286,4661.714285714285,2852.6071428571427
d_90,11680,2500,3965,2011-04-28,17038.5,4662.357142857143,2830.464285714286
d_91,14714,2907,5114,2011-04-29,16872.678571428572,4651.857142857143,2807.714285714286
d_92,17776,4039,6286,2011-04-30,16700.285714285714,4630.678571428572,2809.25
d_93,19746,3381,5918,2011-05-01,16569.928571428572,4622.107142857143,2804.8571428571427
d_94,15703,2590,4544,2011-05-02,16505.35714285714,4624.428571428572,2795.1428571428573
d_95,16581,3002,4497,2011-05-03,16481.35714285714,4644.5,2816.8928571428573
d_96,14160,2549,4052,2011-05-04,16394.785714285714,4659.035714285715,2821.25
d_97,14778,2605,3801,2011-05-05,16335.142857142857,4658.714285714285,2819.8928571428573
d_98,17267,2828,4391,2011-05-06,16337.107142857143,4658.5,2808.5714285714284
d_99,19679,3466,5267,2011-05-07,16246.32142857143,4631.5,2807.3214285714284
d_100,16383,2880,4425,2011-05-08,16037.214285714286,4577.607142857143,2790.035714285714
d_101,17988,2670,4366,2011-05-09,16051.464285714286,4580.0,2780.3571428571427
d_102,15767,2584,3880,2011-05-10,16013.67857142857,4583.357142857143,2779.535714285714
d_103,15180,2781,4204,2011-05-11,16011.82142857143,4597.535714285715,2787.0
d_104,15559,2811,4043,2011-05-12,16020.214285714286,4600.285714285715,2791.8928571428573
d_105,17382,3153,5113,2011-05-13,15997.57142857143,4616.5,2804.25
d_106,19108,3580,6048,2011-05-14,15972.25,4616.571428571428,2811.714285714286
d_107,21766,3466,6088,2011-05-15,16015.785714285714,4612.071428571428,2827.4285714285716
d_108,15034,3001,4178,2011-05-16,16012.464285714286,4601.571428571428,2834.964285714286
d_109,13313,2433,3867,2011-05-17,16007.42857142857,4602.5,2844.035714285714
d_110,12618,2485,3667,2011-05-18,15965.25,4589.428571428572,2848.6428571428573
d_111,12732,2181,3771,2011-05-19,15929.214285714286,4586.571428571428,2848.8214285714284
d_112,14330,2886,4433,2011-05-20,15837.82142857143,4569.321428571428,2863.535714285714
d_113,17661,3604,5847,2011-05-21,15721.285714285714,4578.392857142857,2883.035714285714
d_114,17855,3105,5286,2011-05-22,15756.464285714286,4599.25,2906.5714285714284
d_115,14392,2626,3936,2011-05-23,15808.964285714286,4589.214285714285,2898.035714285714
d_116,13175,2336,3692,2011-05-24,15855.107142857143,4588.464285714285,2891.5714285714284
d_117,13070,2316,3672,2011-05-25,15907.035714285714,4583.964285714285,2884.464285714286
d_118,13744,2729,4007,2011-05-26,15980.75,4585.464285714285,2892.6428571428573
d_119,14825,3272,4384,2011-05-27,15984.714285714286,4559.392857142857,2905.6785714285716
d_120,17214,3214,5099,2011-05-28,15964.642857142857,4517.0,2876.214285714286
d_121,16161,2532,4756,2011-05-29,15836.607142857143,4475.5,2845.8928571428573
d_122,15540,2159,4839,2011-05-30,15830.785714285714,4486.035714285715,2830.5
d_123,13042,2188,4325,2011-05-31,15704.392857142857,4479.892857142857,2801.4285714285716
d_124,15746,2478,4941,2011-06-01,15761.035714285714,4511.642857142857,2798.8928571428573
d_125,15980,2375,4326,2011-06-02,15803.964285714286,4530.392857142857,2790.6785714285716
d_126,18741,2974,5066,2011-06-03,15856.607142857143,4554.5,2795.8928571428573
d_127,21155,3014,6141,2011-06-04,15909.32142857143,4585.714285714285,2779.75
d_128,22466,3204,5934,2011-06-05,16126.57142857143,4639.607142857143,2791.3214285714284
d_129,19283,2710,4692,2011-06-06,16172.82142857143,4651.25,2792.75
d_130,18430,2393,4266,2011-06-07,16267.92857142857,4665.035714285715,2785.9285714285716
d_131,17456,2845,4152,2011-06-08,16349.214285714286,4663.178571428572,2788.214285714286
d_132,17956,2593,4233,2011-06-09,16434.821428571428,4669.964285714285,2780.4285714285716
d_133,17965,3471,4983,2011-06-10,16455.64285714286,4665.321428571428,2791.785714285714
d_134,20553,3453,5934,2011-06-11,16507.25,4661.25,2787.25
d_135,22662,2616,5816,2011-06-12,16539.25,4651.535714285715,2756.8928571428573
d_136,18447,2695,4610,2011-06-13,16661.14285714286,4666.964285714285,2745.964285714286
d_137,17047,2781,4327,2011-06-14,16794.5,4683.392857142857,2758.3928571428573
d_138,18274,2652,4332,2011-06-15,16996.5,4707.142857142857,2764.3571428571427
d_139,15713,2802,4191,2011-06-16,17102.964285714286,4722.142857142857,2786.535714285714
d_140,17170,2836,4706,2011-06-17,17204.39285714286,4731.892857142857,2784.75
d_141,19647,3545,5633,2011-06-18,17275.321428571428,4724.25,2782.6428571428573
d_142,18141,2878,5087,2011-06-19,17285.535714285714,4717.142857142857,2774.535714285714
d_143,16915,2703,4643,2011-06-20,17375.64285714286,4742.392857142857,2777.285714285714
d_144,15323,2298,4189,2011-06-21,17452.35714285714,4760.142857142857,2775.9285714285716
d_145,14630,2558,4213,2011-06-22,17508.071428571428,4779.464285714285,2784.5714285714284
d_146,15464,2822,4494,2011-06-23,17569.5,4796.857142857143,2787.8928571428573
d_147,16530,3116,4992,2011-06-24,17630.39285714286,4818.571428571428,2782.3214285714284
d_148,17915,3140,5427,2011-06-25,17655.428571428572,4830.285714285715,2779.6785714285716
d_149,19008,3124,5536,2011-06-26,17757.10714285714,4858.142857142857,2800.8214285714284
d_150,15491,2837,4314,2011-06-27,17755.35714285714,4839.392857142857,2825.035714285714
d_151,13457,2515,3828,2011-06-28,17770.178571428572,4821.642857142857,2836.714285714286
d_152,13565,2522,3843,2011-06-29,17692.285714285714,4782.428571428572,2838.285714285714
d_153,14731,2570,4150,2011-06-30,17647.678571428572,4776.142857142857,2845.25
d_154,21397,3757,5879,2011-07-01,17742.535714285714,4805.178571428572,2873.214285714286
d_155,23387,3681,5933,2011-07-02,17822.25,4797.75,2897.035714285714
d_156,21577,2734,4862,2011-07-03,17790.5,4759.464285714285,2880.25
d_157,16825,2308,3900,2011-07-04,17702.714285714286,4731.178571428572,2865.8928571428573
d_158,19385,2660,4551,2011-07-05,17736.821428571428,4741.357142857143,2875.4285714285716
d_159,18922,2939,4741,2011-07-06,17789.178571428572,4762.392857142857,2878.785714285714
d_160,19122,2690,4915,2011-07-07,17830.821428571428,4786.75,2882.25
d_161,19641,2787,5251,2011-07-08,17890.678571428572,4796.321428571428,2857.8214285714284
d_162,22573,3568,6345,2011-07-09,17962.821428571428,4811.0,2861.9285714285716
d_163,22079,3175,6285,2011-07-10,17942.0,4827.75,2881.8928571428573
d_164,19331,2493,4768,2011-07-11,17973.571428571428,4833.392857142857,2874.6785714285716
d_165,17762,2553,4317,2011-07-12,17999.10714285714,4833.035714285715,2866.535714285714
d_166,16805,2528,4112,2011-07-13,17946.64285714286,4825.178571428572,2862.1071428571427
d_167,16738,2392,4317,2011-07-14,17983.25,4829.678571428572,2847.464285714286
d_168,19505,2913,4931,2011-07-15,18066.64285714286,4837.714285714285,2850.214285714286
d_169,21333,3552,5984,2011-07-16,18126.85714285714,4850.25,2850.464285714286
d_170,21346,3202,5786,2011-07-17,18241.321428571428,4875.214285714285,2862.035714285714
d_171,17203,2875,4561,2011-07-18,18251.60714285714,4872.285714285715,2868.1785714285716
d_172,15379,2550,4002,2011-07-19,18253.60714285714,4865.607142857143,2877.1785714285716
d_173,15844,2512,4131,2011-07-20,18296.964285714286,4862.678571428572,2875.535714285714
d_174,15826,2483,4469,2011-07-21,18309.89285714286,4861.785714285715,2863.4285714285716
d_175,18194,3077,5085,2011-07-22,18369.321428571428,4865.107142857143,2862.035714285714
d_176,20353,3666,6265,2011-07-23,18456.39285714286,4895.035714285715,2880.8214285714284
d_177,19889,3185,5725,2011-07-24,18487.85714285714,4901.785714285715,2883.0
d_178,15676,2749,4470,2011-07-25,18494.464285714286,4907.357142857143,2879.8571428571427
d_179,14496,2520,4179,2011-07-26,18531.571428571428,4919.892857142857,2880.035714285714
d_180,14207,2330,3967,2011-07-27,18554.5,4924.321428571428,2873.1785714285716
d_181,14523,2527,4193,2011-07-28,18547.071428571428,4925.857142857143,2871.6428571428573
d_182,16711,2700,5131,2011-07-29,18379.714285714286,4899.142857142857,2833.8928571428573
d_183,18794,3714,6445,2011-07-30,18215.678571428572,4917.428571428572,2835.0714285714284
d_184,19672,2951,6054,2011-07-31,18147.64285714286,4960.0,2842.8214285714284
d_185,18297,2990,5320,2011-08-01,18200.214285714286,5010.714285714285,2867.1785714285716
d_186,17788,2768,4919,2011-08-02,18143.178571428572,5023.857142857143,2871.035714285714
d_187,19290,2978,4969,2011-08-03,18156.321428571428,5032.0,2872.4285714285716
d_188,16481,2566,4666,2011-08-04,18062.0,5023.107142857143,2868.0
d_189,18719,2684,5191,2011-08-05,18029.071428571428,5020.964285714285,2864.3214285714284
d_190,22291,3517,6151,2011-08-06,18019.0,5014.035714285715,2862.5
d_191,22867,2811,6328,2011-08-07,18047.14285714286,5015.571428571428,2849.5
d_192,19237,2428,4689,2011-08-08,18043.785714285714,5012.75,2847.1785714285716
d_193,19192,2626,4395,2011-08-09,18094.85714285714,5015.535714285715,2849.785714285714
d_194,17236,2784,4558,2011-08-10,18110.25,5031.464285714285,2858.9285714285716
d_195,17803,2459,4446,2011-08-11,18148.285714285714,5036.071428571428,2861.3214285714284
d_196,20262,2958,5324,2011-08-12,18175.321428571428,5050.107142857143,2862.9285714285716
d_197,23357,3223,6423,2011-08-13,18247.60714285714,5065.785714285715,2851.1785714285716
d_198,24373,3132,6404,2011-08-14,18355.714285714286,5087.857142857143,2848.6785714285716
d_199,20767,2655,5089,2011-08-15,18483.0,5106.714285714285,2840.8214285714284
d_200,17832,2601,4833,2011-08-16,18570.60714285714,5136.392857142857,2842.6428571428573
d_201,16681,2397,4603,2011-08-17,18600.5,5153.25,2838.535714285714
d_202,16613,2306,4457,2011-08-18,18628.60714285714,5152.821428571428,2832.214285714286
d_203,18594,3007,5403,2011-08-19,18642.89285714286,5164.178571428572,2829.714285714286
d_204,21992,3568,6698,2011-08-20,18701.428571428572,5179.642857142857,2826.214285714286
d_205,24065,2983,6925,2011-08-21,18850.571428571428,5222.5,2819.0
d_206,17855,2577,4892,2011-08-22,18928.39285714286,5237.571428571428,2812.8571428571427
d_207,15800,2371,4446,2011-08-23,18974.964285714286,5247.107142857143,2807.535714285714
d_208,15068,2690,4177,2011-08-24,19005.714285714286,5254.607142857143,2820.3928571428573
d_209,14616,2501,4297,2011-08-25,19009.035714285714,5258.321428571428,2819.464285714286
d_210,16363,2943,4962,2011-08-26,18996.60714285714,5252.285714285715,2828.1428571428573
d_211,20449,3506,6428,2011-08-27,19055.714285714286,5251.678571428572,2820.714285714286
d_212,21993,2431,6202,2011-08-28,19138.60714285714,5256.964285714285,2802.1428571428573
d_213,15733,1939,4413,2011-08-29,19047.035714285714,5224.571428571428,2764.6071428571427
d_214,13750,2263,4337,2011-08-30,18902.821428571428,5203.785714285715,2746.5714285714284
d_215,14788,2316,4619,2011-08-31,18742.035714285714,5191.285714285715,2722.9285714285716
d_216,18505,2624,5170,2011-09-01,18814.321428571428,5209.285714285715,2725.0
d_217,20388,3092,5728,2011-09-02,18873.928571428572,5228.464285714285,2739.5714285714284
d_218,23937,3513,6582,2011-09-03,18932.714285714286,5243.857142857143,2739.4285714285716
d_219,19081,2284,5560,2011-09-04,18797.5,5216.428571428572,2720.6071428571427
d_220,21743,2581,5834,2011-09-05,18887.0,5257.321428571428,2726.0714285714284
d_221,18482,2744,4908,2011-09-06,18861.64285714286,5275.642857142857,2730.285714285714
d_222,17462,2288,4695,2011-09-07,18869.714285714286,5280.535714285715,2712.5714285714284
d_223,16918,2548,4582,2011-09-08,18838.10714285714,5285.392857142857,2715.75
d_224,19975,2748,5523,2011-09-09,18827.85714285714,5292.5,2708.25
d_225,23036,3160,6834,2011-09-10,18816.39285714286,5307.178571428572,2706.0
d_226,24875,2949,6808,2011-09-11,18834.321428571428,5321.607142857143,2699.464285714286
d_227,19155,2257,4726,2011-09-12,18776.75,5308.642857142857,2685.25
d_228,17899,2167,4579,2011-09-13,18779.14285714286,5299.571428571428,2669.75
d_229,16848,2283,4374,2011-09-14,18785.10714285714,5291.392857142857,2665.6785714285716
d_230,19053,2543,4747,2011-09-15,18872.25,5301.75,2674.1428571428573
d_231,18696,2550,5687,2011-09-16,18875.89285714286,5311.892857142857,2657.8214285714284
d_232,22345,3198,6652,2011-09-17,18888.5,5310.25,2644.6071428571427
d_233,22705,2853,6476,2011-09-18,18839.928571428572,5294.214285714285,2639.964285714286
d_234,17218,2355,4794,2011-09-19,18817.178571428572,5290.714285714285,2632.035714285714
d_235,16017,2250,4408,2011-09-20,18824.928571428572,5289.357142857143,2627.714285714286
d_236,15245,2328,4223,2011-09-21,18831.25,5291.0,2614.785714285714
d_237,15254,2318,4287,2011-09-22,18854.035714285714,5290.642857142857,2608.25
d_238,18562,2787,5357,2011-09-23,18932.571428571428,5304.75,2602.6785714285716
d_239,22717,2992,6757,2011-09-24,19013.571428571428,5316.5,2584.3214285714284
d_240,23802,2919,6507,2011-09-25,19078.178571428572,5327.392857142857,2601.75
d_241,17037,2492,4561,2011-09-26,19124.75,5332.678571428572,2621.5
d_242,16115,2393,4280,2011-09-27,19209.214285714286,5330.642857142857,2626.1428571428573
d_243,15712,2316,4165,2011-09-28,19242.214285714286,5314.428571428572,2626.1428571428573
d_244,15503,2462,4418,2011-09-29,19135.0,5287.571428571428,2620.3571428571427
d_245,20642,3363,6177,2011-09-30,19144.071428571428,5303.607142857143,2630.035714285714
d_246,27178,3938,8196,2011-10-01,19259.821428571428,5361.25,2645.214285714286
d_247,26994,3012,7208,2011-10-02,19542.428571428572,5420.107142857143,2671.214285714286
d_248,22299,2983,5173,2011-10-03,19562.285714285714,5396.5,2685.5714285714284
d_249,18876,2569,4669,2011-10-04,19576.35714285714,5387.964285714285,2679.3214285714284
d_250,19340,2190,4383,2011-10-05,19643.428571428572,5376.821428571428,2675.8214285714284
d_251,19367,2356,4343,2011-10-06,19730.89285714286,5368.285714285715,2668.964285714286
d_252,21904,2952,5129,2011-10-07,19799.785714285714,5354.214285714285,2676.25
d_253,26152,3448,6330,2011-10-08,19911.071428571428,5336.214285714285,2686.535714285714
d_254,26780,2864,6296,2011-10-09,19979.10714285714,5317.928571428572,2683.5
d_255,21598,2749,5054,2011-10-10,20066.35714285714,5329.642857142857,2701.0714285714284
d_256,20286,2764,4377,2011-10-11,20151.60714285714,5322.428571428572,2722.3928571428573
d_257,20503,2334,4577,2011-10-12,20282.14285714286,5329.678571428572,2724.214285714286
d_258,19143,2448,4525,2011-10-13,20285.35714285714,5321.75,2720.8214285714284
d_259,21228,2928,5729,2011-10-14,20375.785714285714,5323.25,2734.3214285714284
d_260,27704,3545,7177,2011-10-15,20567.178571428572,5342.0,2746.714285714286
d_261,26041,2983,7103,2011-10-16,20686.321428571428,5364.392857142857,2751.3571428571427
d_262,19880,2549,5163,2011-10-17,20781.39285714286,5377.571428571428,2758.285714285714
d_263,17184,2358,4660,2011-10-18,20823.071428571428,5386.571428571428,2762.1428571428573
d_264,15683,2565,4193,2011-10-19,20838.714285714286,5385.5,2770.6071428571427
d_265,15824,2306,4272,2011-10-20,20859.071428571428,5384.964285714285,2770.1785714285716
d_266,18939,2890,5301,2011-10-21,20872.535714285714,5382.964285714285,2773.8571428571427
d_267,23055,3413,6683,2011-10-22,20884.60714285714,5380.321428571428,2788.8928571428573
d_268,23194,3177,6505,2011-10-23,20862.89285714286,5380.25,2798.1071428571427
d_269,17135,2581,4800,2011-10-24,20866.39285714286,5388.785714285715,2801.285714285714
d_270,15736,2361,4340,2011-10-25,20852.85714285714,5390.928571428572,2800.1428571428573
d_271,14886,2675,4581,2011-10-26,20823.35714285714,5405.785714285715,2812.964285714286
d_272,15679,2765,4538,2011-10-27,20829.64285714286,5410.071428571428,2823.785714285714
d_273,18609,3046,5225,2011-10-28,20757.035714285714,5376.071428571428,2812.464285714286
d_274,22851,3758,6610,2011-10-29,20602.5,5319.428571428572,2806.035714285714
d_275,22638,3022,6193,2011-10-30,20446.928571428572,5283.178571428572,2806.3928571428573
d_276,15441,2808,4446,2011-10-31,20202.0,5257.214285714285,2800.1428571428573
d_277,18137,2835,5067,2011-11-01,20175.60714285714,5271.428571428572,2809.6428571428573
d_278,17526,2616,4666,2011-11-02,20110.821428571428,5281.535714285715,2824.8571428571427
d_279,19801,2985,5116,2011-11-03,20126.321428571428,5309.142857142857,2847.3214285714284
d_280,19957,3014,5625,2011-11-04,20056.785714285714,5326.857142857143,2849.535714285714
d_281,26236,3734,6917,2011-11-05,20059.785714285714,5347.821428571428,2859.75
d_282,27911,3100,6876,2011-11-06,20100.178571428572,5368.535714285715,2868.1785714285716
d_283,20030,2437,4811,2011-11-07,20044.178571428572,5359.857142857143,2857.035714285714
d_284,18567,2388,4233,2011-11-08,19982.785714285714,5354.714285714285,2843.6071428571427
d_285,19506,2457,4129,2011-11-09,19947.178571428572,5338.714285714285,2848.0
d_286,18691,2602,4854,2011-11-10,19931.035714285714,5350.464285714285,2853.5
d_287,21652,2778,5325,2011-11-11,19946.178571428572,5336.035714285715,2848.1428571428573
d_288,25772,3486,6664,2011-11-12,19877.178571428572,5317.714285714285,2846.035714285714
d_289,26203,2688,6457,2011-11-13,19882.964285714286,5294.642857142857,2835.5
d_290,19385,2663,4725,2011-11-14,19865.285714285714,5279.0,2839.5714285714284
d_291,19738,2416,4547,2011-11-15,19956.5,5274.964285714285,2841.6428571428573
d_292,17172,2373,4383,2011-11-16,20009.678571428572,5281.75,2834.785714285714
d_293,16538,2350,4226,2011-11-17,20035.178571428572,5280.107142857143,2836.3571428571427
d_294,18711,2764,5032,2011-11-18,20027.035714285714,5270.5,2831.8571428571427
d_295,23660,3229,6656,2011-11-19,20048.64285714286,5269.535714285715,2825.285714285714
d_296,23044,3203,6506,2011-11-20,20043.285714285714,5269.571428571428,2826.214285714286
d_297,18295,2516,4763,2011-11-21,20084.714285714286,5268.25,2823.8928571428573
d_298,18554,2285,4815,2011-11-22,20185.35714285714,5285.214285714285,2821.1785714285716
d_299,23261,2460,5066,2011-11-23,20484.464285714286,5302.535714285715,2813.5
d_300,14489,1140,2798,2011-11-24,20441.964285714286,5240.392857142857,2755.464285714286
d_301,16733,2631,4634,2011-11-25,20374.964285714286,5219.285714285715,2740.6428571428573
d_302,17121,2948,5223,2011-11-26,20170.321428571428,5169.75,2711.714285714286
d_303,19262,2615,5257,2011-11-27,20049.75,5136.321428571428,2697.1785714285716
d_304,15668,2449,4261,2011-11-28,20057.85714285714,5129.714285714285,2684.3571428571427
d_305,14907,2769,3908,2011-11-29,19942.5,5088.321428571428,2682.0
d_306,14770,2393,3926,2011-11-30,19844.071428571428,5061.892857142857,2674.035714285714
d_307,18321,3151,4796,2011-12-01,19791.214285714286,5050.464285714285,2679.964285714286
d_308,21160,3164,5403,2011-12-02,19834.178571428572,5042.535714285715,2685.3214285714284
d_309,27404,4238,6487,2011-12-03,19875.89285714286,5027.178571428572,2703.3214285714284
d_310,25427,3318,6333,2011-12-04,19787.178571428572,5007.785714285715,2711.1071428571427
d_311,21909,2623,4688,2011-12-05,19854.285714285714,5003.392857142857,2717.75
d_312,20495,2661,4111,2011-12-06,19923.14285714286,4999.035714285715,2727.5
d_313,18883,2581,3989,2011-12-07,19900.89285714286,4994.035714285715,2731.9285714285716
d_314,19365,2747,4235,2011-12-08,19924.964285714286,4971.928571428572,2737.1071428571427
d_315,21637,2955,4846,2011-12-09,19924.428571428572,4954.821428571428,2743.4285714285716
d_316,25296,3417,6073,2011-12-10,19907.428571428572,4933.714285714285,2740.964285714286
d_317,27114,2830,5799,2011-12-11,19939.964285714286,4910.214285714285,2746.035714285714
d_318,22015,2831,4305,2011-12-12,20033.89285714286,4895.214285714285,2752.035714285714
d_319,20528,2443,3942,2011-12-13,20062.10714285714,4873.607142857143,2753.0
d_320,20201,2485,4108,2011-12-14,20170.285714285714,4863.785714285715,2757.0
d_321,22490,2894,4260,2011-12-15,20382.85714285714,4865.0,2776.4285714285716
d_322,21275,2914,4696,2011-12-16,20474.428571428572,4853.0,2781.785714285714
d_323,24797,3270,6092,2011-12-17,20515.035714285714,4832.857142857143,2783.25
d_324,23652,2802,5633,2011-12-18,20536.75,4801.678571428572,2768.9285714285716
d_325,19961,2627,4480,2011-12-19,20596.25,4791.571428571428,2772.8928571428573
d_326,19255,2620,4387,2011-12-20,20621.285714285714,4776.285714285715,2784.8571428571427
d_327,19578,2763,4321,2011-12-21,20489.75,4749.678571428572,2795.6785714285716
d_328,20555,2945,4682,2011-12-22,20706.39285714286,4816.964285714285,2860.1428571428573
d_329,25966,3350,5330,2011-12-23,21036.14285714286,4841.821428571428,2885.8214285714284
d_330,23432,2580,3946,2011-12-24,21261.535714285714,4796.214285714285,2872.6785714285716
d_331,13,0,0,2011-12-25,20574.071428571428,4608.464285714285,2779.285714285714
d_332,19210,3244,5578,2011-12-26,20700.571428571428,4655.5,2807.6785714285716
d_333,17379,2538,4734,2011-12-27,20788.85714285714,4685.0,2799.4285714285716
d_334,17401,2548,4842,2011-12-28,20882.821428571428,4717.714285714285,2804.964285714286
