d,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,date,CA_1_rolling_28,CA_2_rolling_28,CA_3_rolling_28,CA_4_rolling_28,TX_1_rolling_28,TX_2_rolling_28,TX_3_rolling_28,WI_1_rolling_28,WI_2_rolling_28,WI_3_rolling_28
d_26,2377,1851,3342,1371,1723,2268,1823,1413,1719,2870,2011-02-23,,,,,,,,,,
d_27,2414,1652,3310,1138,1825,2488,1862,1449,1571,2568,2011-02-24,,,,,,,,,,
d_28,2701,2187,3575,1384,1886,2506,1894,1830,1532,3034,2011-02-25,3258.1785714285716,2437.3214285714284,4293.75,1470.392857142857,2224.8928571428573,3058.8214285714284,2346.0714285714284,1706.6785714285713,1884.392857142857,3558.1785714285716
d_29,3719,3516,4774,1643,2629,3565,2392,2154,1961,3555,2011-02-26,3236.1071428571427,2438.1071428571427,4295.0,1471.0357142857142,2227.5,3048.5714285714284,2323.285714285714,1687.0357142857142,1873.857142857143,3540.9285714285716
d_30,3548,2692,4540,1711,2688,3660,2738,1784,1643,3703,2011-02-27,3214.4285714285716,2425.464285714286,4284.75,1468.6785714285713,2227.535714285714,3038.6785714285716,2313.714285714286,1672.392857142857,1863.892857142857,3523.25
d_31,2246,1894,3604,1452,1985,2548,2022,1327,1537,2625,2011-02-28,3194.0714285714284,2417.3571428571427,4278.285714285715,1471.0357142857142,2233.3571428571427,3032.1428571428573,2306.464285714286,1664.0,1846.7142857142858,3498.535714285714
d_32,2549,1958,3846,1429,1967,3023,2092,1352,1667,2989,2011-03-01,3176.1428571428573,2404.285714285714,4264.5,1470.642857142857,2222.964285714286,3034.6071428571427,2303.714285714286,1667.607142857143,1816.1785714285713,3490.6071428571427
d_33,2559,1837,3821,1320,1860,2383,1902,1279,1735,3350,2011-03-02,3173.6071428571427,2400.535714285714,4264.642857142857,1462.9285714285713,2228.8928571428573,3030.714285714286,2310.0,1713.2142857142858,1836.1785714285713,3534.1071428571427
d_34,2568,2010,3757,1375,2052,2545,2042,1338,1946,3842,2011-03-03,3148.3214285714284,2390.6071428571427,4242.785714285715,1462.4285714285713,2204.535714285714,2998.785714285714,2281.75,1687.8214285714287,1825.5357142857142,3507.3928571428573
d_35,2978,2105,3904,1457,1753,2718,2113,1560,1659,3325,2011-03-04,3131.464285714286,2371.8928571428573,4214.25,1462.0,2206.75,3003.4285714285716,2287.6785714285716,1643.0,1805.0714285714287,3465.9285714285716
d_36,4096,3199,4894,1595,2642,3627,2969,1867,1967,4346,2011-03-05,3083.5714285714284,2352.964285714286,4194.178571428572,1447.9642857142858,2200.3928571428573,2998.25,2292.0,1593.6785714285713,1780.9285714285713,3407.1785714285716
d_37,4832,3272,5895,2058,3031,4379,3013,1996,1894,4506,2011-03-06,3101.1428571428573,2364.214285714286,4205.392857142857,1456.5357142857142,2205.535714285714,3024.035714285714,2298.464285714286,1605.1785714285713,1772.142857142857,3394.8928571428573
d_38,3138,1970,4274,1571,2272,2954,2397,1453,1635,2898,2011-03-07,3100.464285714286,2355.3571428571427,4182.607142857143,1457.8214285714287,2209.035714285714,3024.8214285714284,2305.035714285714,1608.6785714285713,1764.9642857142858,3382.6785714285716
d_39,2997,1800,4084,1418,1788,2495,2052,1359,1691,3068,2011-03-08,3100.535714285714,2343.8214285714284,4169.642857142857,1459.607142857143,2215.5,3020.0714285714284,2307.285714285714,1609.5357142857142,1770.857142857143,3383.214285714286
d_40,2772,2064,3754,1361,2180,2705,2056,1157,1480,3031,2011-03-09,3102.75,2349.6428571428573,4141.428571428572,1465.5357142857142,2216.6071428571427,3021.3571428571427,2312.0714285714284,1600.5,1757.7857142857142,3373.1785714285716
d_41,2650,2041,3898,1423,1779,2613,1947,1521,1514,3240,2011-03-10,3092.8214285714284,2335.535714285714,4123.285714285715,1465.142857142857,2212.464285714286,3024.8571428571427,2320.9285714285716,1606.642857142857,1748.107142857143,3370.714285714286
d_42,3249,2375,4108,1457,2073,2968,2162,1897,1699,3584,2011-03-11,3098.9285714285716,2328.0714285714284,4113.571428571428,1470.3214285714287,2205.9285714285716,3027.8928571428573,2324.464285714286,1604.892857142857,1736.8214285714287,3358.4285714285716
d_43,4114,3114,4823,1659,2800,3704,2767,2351,2480,4413,2011-03-12,3091.714285714286,2315.8928571428573,4100.571428571428,1470.5714285714287,2200.785714285714,3017.3214285714284,2311.25,1594.7857142857142,1738.1785714285713,3335.1071428571427
d_44,4094,3224,5342,1680,2737,3869,2936,1847,1935,3753,2011-03-13,3082.4285714285716,2303.785714285714,4084.9285714285716,1461.5357142857142,2175.964285714286,2984.8214285714284,2290.6071428571427,1588.892857142857,1723.857142857143,3302.1071428571427
d_45,2880,2044,4231,1567,2277,3296,2172,1386,1759,3323,2011-03-14,3086.8214285714284,2312.464285714286,4118.071428571428,1475.25,2188.6785714285716,3006.8571428571427,2292.5,1584.0357142857142,1729.107142857143,3316.964285714286
d_46,2384,1969,3624,1316,2614,3052,2168,1579,1763,3552,2011-03-15,3085.1785714285716,2318.6071428571427,4113.285714285715,1468.2857142857142,2202.8571428571427,3011.3214285714284,2287.214285714286,1591.75,1721.357142857143,3309.1428571428573
d_47,2522,2082,3767,1381,1987,2719,2062,1530,1650,3065,2011-03-16,3094.1071428571427,2330.785714285714,4117.785714285715,1475.107142857143,2203.75,3015.3571428571427,2288.0714285714284,1599.9642857142858,1722.142857142857,3309.1428571428573
d_48,2435,2234,3653,1182,2117,2642,2000,1441,1454,2621,2011-03-17,3109.3214285714284,2352.9285714285716,4137.571428571428,1477.5714285714287,2214.3214285714284,3022.25,2283.0,1599.3214285714287,1714.142857142857,3297.964285714286
d_49,2744,2227,3562,1497,2121,2889,2121,1874,1675,3145,2011-03-18,3099.6428571428573,2353.3928571428573,4146.214285714285,1478.3214285714287,2220.3928571428573,3032.035714285714,2282.1428571428573,1599.392857142857,1709.2142857142858,3292.4285714285716
d_50,4142,3554,5235,1578,2423,3457,2323,2271,1910,3706,2011-03-19,3084.964285714286,2370.3214285714284,4165.535714285715,1479.5714285714287,2215.1071428571427,3023.1785714285716,2262.464285714286,1587.7857142857142,1705.5,3279.8214285714284
d_51,3904,3431,5181,1596,2669,3533,2790,1516,1556,3467,2011-03-20,3082.75,2382.6071428571427,4179.357142857143,1478.7857142857142,2210.0714285714284,3012.035714285714,2250.1785714285716,1591.392857142857,1704.2142857142858,3295.714285714286
d_52,2635,2018,4154,1448,2074,2764,2237,1496,1426,2849,2011-03-21,3060.285714285714,2361.785714285714,4162.321428571428,1476.892857142857,2210.1785714285716,3003.3928571428573,2250.785714285714,1611.2857142857142,1706.7142857142858,3312.5714285714284
d_53,2458,2045,3664,1216,1858,2313,1915,1359,1428,2236,2011-03-22,3060.8928571428573,2370.1785714285716,4164.857142857143,1474.392857142857,2207.5,2988.6785714285716,2248.8214285714284,1620.9285714285713,1710.2142857142858,3309.4285714285716
d_54,2079,1908,3255,1248,1780,2208,1926,1245,1351,2230,2011-03-23,3050.25,2372.214285714286,4161.75,1470.0,2209.535714285714,2986.535714285714,2252.5,1614.9285714285713,1697.0714285714287,3286.5714285714284
d_55,2281,1718,2814,1076,1859,2290,1749,1427,1306,2334,2011-03-24,3045.5,2374.5714285714284,4144.035714285715,1467.7857142857142,2210.75,2979.464285714286,2248.464285714286,1614.142857142857,1687.607142857143,3278.214285714286
d_56,2740,2697,4085,1489,1982,2412,1855,1808,1435,2847,2011-03-25,3046.8928571428573,2392.785714285714,4162.25,1471.5357142857142,2214.1785714285716,2976.1071428571427,2247.0714285714284,1613.357142857143,1684.142857142857,3271.535714285714
d_57,3899,3310,4991,1616,2392,3195,2485,2277,1826,3629,2011-03-26,3053.3214285714284,2385.4285714285716,4170.0,1470.5714285714287,2205.714285714286,2962.8928571428573,2250.3928571428573,1617.75,1679.3214285714287,3274.1785714285716
d_58,3999,3223,4850,1589,2817,3759,2858,1879,1516,3376,2011-03-27,3069.4285714285716,2404.3928571428573,4181.071428571428,1466.2142857142858,2210.3214285714284,2966.4285714285716,2254.6785714285716,1621.142857142857,1674.7857142857142,3262.5
d_59,2780,2179,3692,1346,1792,2638,1999,1295,1269,2459,2011-03-28,3088.5,2414.5714285714284,4184.214285714285,1462.4285714285713,2203.4285714285716,2969.6428571428573,2253.8571428571427,1620.0,1665.2142857142858,3256.5714285714284
d_60,2167,2107,3028,1214,1705,2276,1747,1293,1504,2540,2011-03-29,3074.8571428571427,2419.8928571428573,4155.0,1454.75,2194.0714285714284,2942.964285714286,2241.535714285714,1617.892857142857,1659.392857142857,3240.535714285714
d_61,2247,1887,3518,1259,1706,2055,1623,1489,1323,1821,2011-03-30,3063.714285714286,2421.6785714285716,4144.178571428572,1452.5714285714287,2188.5714285714284,2931.25,2231.5714285714284,1625.392857142857,1644.6785714285713,3185.9285714285716
d_62,2576,2362,3640,1481,1783,2421,1892,1605,1660,2322,2011-03-31,3064.0,2434.25,4140.0,1456.357142857143,2178.964285714286,2926.8214285714284,2226.214285714286,1634.9285714285713,1634.4642857142858,3131.6428571428573
d_63,3500,2979,4599,1749,2698,2970,2324,1952,2067,3471,2011-04-01,3082.6428571428573,2465.464285714286,4164.821428571428,1466.7857142857142,2212.714285714286,2935.8214285714284,2233.75,1648.9285714285713,1649.0357142857142,3136.8571428571427
d_64,4325,3503,5265,1698,2781,3493,2860,2516,2428,4609,2011-04-02,3090.8214285714284,2476.3214285714284,4178.071428571428,1470.4642857142858,2217.6785714285716,2931.035714285714,2229.8571428571427,1672.107142857143,1665.5,3146.25
d_65,4396,3346,5680,1919,2919,3850,3094,1911,1780,4163,2011-04-03,3075.25,2478.964285714286,4170.392857142857,1465.5,2213.6785714285716,2912.1428571428573,2232.75,1669.0714285714287,1661.4285714285713,3134.0
d_66,3642,2210,4921,1583,1997,2524,2127,1354,1561,2933,2011-04-04,3093.25,2487.535714285714,4193.5,1465.9285714285713,2203.8571428571427,2896.785714285714,2223.1071428571427,1665.5357142857142,1658.7857142857142,3135.25
d_67,2784,2291,3936,1486,2119,2608,2016,1481,1725,3135,2011-04-05,3085.6428571428573,2505.0714285714284,4188.214285714285,1468.357142857143,2215.6785714285716,2900.8214285714284,2221.8214285714284,1669.892857142857,1660.0,3137.6428571428573
d_68,2602,2004,4062,1433,1966,2787,1936,1377,1528,2961,2011-04-06,3079.5714285714284,2502.9285714285716,4199.214285714285,1470.9285714285713,2208.035714285714,2903.75,2217.535714285714,1677.75,1661.7142857142858,3135.1428571428573
d_69,2976,2158,4052,1389,2131,2893,2177,1245,1448,2432,2011-04-07,3091.214285714286,2507.1071428571427,4204.714285714285,1469.7142857142858,2220.6071428571427,2913.75,2225.75,1667.892857142857,1659.357142857143,3106.285714285714
d_70,3294,2305,3918,1454,2109,2621,2067,1677,1864,3445,2011-04-08,3092.8214285714284,2504.6071428571427,4197.928571428572,1469.607142857143,2221.8928571428573,2901.3571428571427,2222.3571428571427,1660.0357142857142,1665.25,3101.3214285714284
d_71,4083,3383,4957,1641,2924,3473,2628,2184,2246,4226,2011-04-09,3091.714285714286,2514.214285714286,4202.714285714285,1468.9642857142858,2226.3214285714284,2893.1071428571427,2217.3928571428573,1654.0714285714287,1656.892857142857,3094.6428571428573
d_72,4194,3416,5728,1953,3057,3942,2649,1660,1440,3497,2011-04-10,3095.285714285714,2521.0714285714284,4216.5,1478.7142857142858,2237.75,2895.714285714286,2207.1428571428573,1647.392857142857,1639.2142857142858,3085.5
d_73,3015,2237,4123,1723,2294,2939,2322,1489,1581,3106,2011-04-11,3100.1071428571427,2527.964285714286,4212.642857142857,1484.2857142857142,2238.3571428571427,2882.964285714286,2212.5,1651.0714285714287,1632.857142857143,3077.75
d_74,2512,1868,3466,1335,2160,2921,2221,1448,1935,3352,2011-04-12,3104.6785714285716,2524.3571428571427,4207.0,1484.9642857142858,2222.1428571428573,2878.285714285714,2214.3928571428573,1646.392857142857,1639.0,3070.6071428571427
d_75,2217,1856,3561,1219,2325,2805,2072,1366,1515,2675,2011-04-13,3093.785714285714,2516.285714285714,4199.642857142857,1479.1785714285713,2234.214285714286,2881.3571428571427,2214.75,1640.5357142857142,1634.1785714285713,3056.6785714285716
d_76,2520,1985,3616,1309,1859,2584,1895,1435,1750,3011,2011-04-14,3096.8214285714284,2507.3928571428573,4198.321428571428,1483.7142857142858,2225.0,2879.285714285714,2211.0,1640.3214285714287,1644.75,3070.6071428571427
d_77,2867,2298,4293,1464,2402,3062,2285,1562,1645,3604,2011-04-15,3101.214285714286,2509.9285714285716,4224.428571428572,1482.5357142857142,2235.035714285714,2885.464285714286,2216.8571428571427,1629.1785714285713,1643.6785714285713,3087.0
d_78,3571,3175,4457,1606,2520,3317,2736,2042,2017,3793,2011-04-16,3080.8214285714284,2496.3928571428573,4196.642857142857,1483.5357142857142,2238.5,2880.464285714286,2231.6071428571427,1621.0,1647.5,3090.1071428571427
d_79,4084,3133,4819,1858,2677,3694,2877,1693,1417,3535,2011-04-17,3087.25,2485.75,4183.714285714285,1492.892857142857,2238.785714285714,2886.214285714286,2234.714285714286,1627.3214285714287,1642.5357142857142,3092.535714285714
d_80,2760,1943,3922,1330,2019,2972,2227,1202,1286,2728,2011-04-18,3091.714285714286,2483.0714285714284,4175.428571428572,1488.6785714285713,2236.8214285714284,2893.6428571428573,2234.3571428571427,1616.8214285714287,1637.5357142857142,3088.214285714286
d_81,2234,1990,3423,1283,1827,2382,1924,1183,1135,2093,2011-04-19,3083.714285714286,2481.1071428571427,4166.821428571428,1491.0714285714287,2235.714285714286,2896.1071428571427,2234.6785714285716,1610.5357142857142,1627.0714285714287,3083.1071428571427
d_82,2261,1754,3306,1261,1913,2511,1963,1327,1306,2586,2011-04-20,3090.214285714286,2475.6071428571427,4168.642857142857,1491.5357142857142,2240.464285714286,2906.9285714285716,2236.0,1613.4642857142858,1625.4642857142858,3095.8214285714284
d_83,2487,1958,3366,1175,1744,2227,1706,1350,1348,2407,2011-04-21,3097.5714285714284,2484.1785714285716,4188.357142857143,1495.0714285714287,2236.3571428571427,2904.6785714285716,2234.464285714286,1610.7142857142858,1626.9642857142858,3098.4285714285716
d_84,3155,2359,3939,1514,2114,3012,2416,1621,1392,2757,2011-04-22,3112.3928571428573,2472.1071428571427,4183.142857142857,1495.9642857142858,2241.0714285714284,2926.1071428571427,2254.5,1604.0357142857142,1625.4285714285713,3095.214285714286
d_85,4187,3000,4577,1813,2304,3664,2865,1868,1730,3567,2011-04-23,3122.6785714285716,2461.035714285714,4168.357142857143,1503.0,2237.9285714285716,2942.8571428571427,2268.0714285714284,1589.4285714285713,1622.0,3093.0
d_86,2946,2834,4482,1459,2451,3307,2139,971,949,2480,2011-04-24,3085.0714285714284,2447.1428571428573,4155.214285714285,1498.357142857143,2224.8571428571427,2926.714285714286,2242.3928571428573,1557.0,1601.75,3061.0
d_87,2439,1952,3336,1138,1832,2572,1935,1295,1245,2260,2011-04-25,3072.8928571428573,2439.035714285714,4142.5,1490.9285714285713,2226.285714285714,2924.3571428571427,2240.1071428571427,1557.0,1600.892857142857,3053.8928571428573
d_88,2085,1845,3145,1101,1777,2077,1681,1203,1219,1980,2011-04-26,3069.964285714286,2429.6785714285716,4146.678571428572,1486.892857142857,2228.8571428571427,2917.25,2237.75,1553.7857142857142,1590.7142857142858,3033.8928571428573
d_89,2096,1851,3062,1126,1653,2112,1604,1125,1288,2012,2011-04-27,3064.5714285714284,2428.3928571428573,4130.392857142857,1482.142857142857,2226.964285714286,2919.285714285714,2237.0714285714284,1540.7857142857142,1589.4642857142858,3040.714285714286
d_90,2086,1810,2930,1125,1438,2225,1709,1390,1254,2178,2011-04-28,3047.0714285714284,2408.6785714285716,4105.035714285715,1469.4285714285713,2214.6428571428573,2912.285714285714,2230.535714285714,1533.107142857143,1574.9642857142858,3035.5714285714284
d_91,2675,2309,3240,1506,1848,2764,1820,1803,1675,3095,2011-04-29,3017.6071428571427,2384.75,4056.5,1460.75,2184.285714285714,2904.9285714285716,2212.535714285714,1527.7857142857142,1560.9642857142858,3022.1428571428573
d_92,3560,3051,4247,1570,2577,3375,2288,2168,1877,3388,2011-04-30,2990.285714285714,2368.6071428571427,4020.1428571428573,1456.1785714285713,2177.0,2900.714285714286,2192.1071428571427,1515.357142857143,1541.2857142857142,2978.535714285714
d_93,3668,2958,4569,1802,3053,3931,2660,1726,1639,3039,2011-05-01,2964.285714285714,2354.75,3980.464285714286,1452.0,2181.785714285714,2903.6071428571427,2176.6071428571427,1508.75,1536.25,2938.3928571428573
d_94,2911,1958,4245,1543,1857,2443,1825,1261,1615,3179,2011-05-02,2938.1785714285716,2345.75,3956.3214285714284,1450.5714285714287,2176.785714285714,2900.714285714286,2165.8214285714284,1505.4285714285713,1538.1785714285713,2947.1785714285716
d_95,2839,2002,4349,1479,2125,2587,2225,1466,1697,3311,2011-05-03,2940.1428571428573,2335.4285714285716,3971.0714285714284,1450.3214285714287,2177.0,2899.964285714286,2173.285714285714,1504.892857142857,1537.1785714285713,2953.464285714286
d_96,2610,1826,3822,1338,1679,2400,1692,1291,1623,2480,2011-05-04,2940.4285714285716,2329.0714285714284,3962.5,1446.9285714285713,2166.75,2886.1428571428573,2164.5714285714284,1501.8214285714287,1540.5714285714287,2936.285714285714
d_97,2384,2010,3611,1276,2058,2452,1862,1406,1460,2665,2011-05-05,2919.285714285714,2323.785714285714,3946.75,1442.892857142857,2164.1428571428573,2870.3928571428573,2153.3214285714284,1507.5714285714287,1541.0,2944.6071428571427
d_98,3125,2223,3772,1497,2939,2804,2181,1469,1424,3052,2011-05-06,2913.25,2320.8571428571427,3941.535714285714,1444.4285714285713,2193.785714285714,2876.9285714285716,2157.3928571428573,1500.142857142857,1525.2857142857142,2930.5714285714284
d_99,3816,2607,4455,1508,2865,3417,2581,2006,1770,3387,2011-05-07,2903.714285714286,2293.1428571428573,3923.6071428571427,1439.6785714285713,2191.6785714285716,2874.9285714285716,2155.714285714286,1493.7857142857142,1508.2857142857142,2900.6071428571427
d_100,3033,2656,4217,1325,2412,2798,2230,1210,1276,2531,2011-05-08,2862.25,2266.0,3869.6428571428573,1417.25,2168.6428571428573,2834.0714285714284,2140.75,1477.7142857142858,1502.4285714285713,2866.1071428571427
d_101,3069,2064,4498,1633,2482,3246,2273,1169,1573,3017,2011-05-09,2864.1785714285716,2259.8214285714284,3883.035714285714,1414.0357142857142,2175.3571428571427,2845.035714285714,2139.0,1466.2857142857142,1502.142857142857,2862.9285714285716
d_102,2985,1831,3993,1621,2178,2515,1830,1339,1456,2483,2011-05-10,2881.0714285714284,2258.5,3901.8571428571427,1424.25,2176.0,2830.535714285714,2125.035714285714,1462.392857142857,1485.0357142857142,2831.8928571428573
d_103,2629,1837,3657,1447,1957,2570,2228,1260,1497,3083,2011-05-11,2895.785714285714,2257.8214285714284,3905.285714285714,1432.392857142857,2162.8571428571427,2822.1428571428573,2130.6071428571427,1458.607142857143,1484.392857142857,2846.464285714286
d_104,2277,2045,3696,1294,2093,2540,2075,1432,1790,3171,2011-05-12,2887.1071428571427,2259.964285714286,3908.1428571428573,1431.857142857143,2171.214285714286,2820.5714285714284,2137.035714285714,1458.5,1485.8214285714287,2852.1785714285716
d_105,3008,2416,3934,1620,2581,3069,2581,1815,1556,3068,2011-05-13,2892.1428571428573,2264.1785714285716,3895.3214285714284,1437.4285714285713,2177.6071428571427,2820.8214285714284,2147.6071428571427,1467.5357142857142,1482.642857142857,2833.035714285714
d_106,3754,3072,4094,1576,2590,3572,2501,1926,1923,3728,2011-05-14,2898.6785714285716,2260.5,3882.3571428571427,1436.357142857143,2180.1071428571427,2829.9285714285716,2139.214285714286,1463.392857142857,1479.2857142857142,2830.714285714286
d_107,3822,3047,4897,1783,3136,4038,3063,1838,1628,4068,2011-05-15,2889.3214285714284,2257.4285714285716,3885.1428571428573,1433.6785714285713,2196.5,2842.214285714286,2145.8571428571427,1468.5714285714287,1486.8214285714287,2849.75
d_108,2582,1872,3806,1282,2248,2745,2148,1384,1361,2785,2011-05-16,2882.964285714286,2254.8928571428573,3881.0,1431.9642857142858,2204.6785714285716,2834.1071428571427,2143.035714285714,1475.0714285714287,1489.5,2851.785714285714
d_109,2144,1794,3297,1257,1956,2365,1858,1327,1331,2284,2011-05-17,2879.75,2247.8928571428573,3876.5,1431.0357142857142,2209.285714285714,2833.5,2140.6785714285716,1480.2142857142858,1496.5,2858.6071428571427
d_110,2174,1718,3173,1193,1706,2341,1740,1404,1258,2063,2011-05-18,2876.6428571428573,2246.6071428571427,3871.75,1428.607142857143,2201.8928571428573,2827.4285714285716,2132.714285714286,1482.9642857142858,1494.7857142857142,2839.9285714285716
d_111,2168,1876,3172,1194,1691,2273,1716,1206,1201,2187,2011-05-19,2865.25,2243.6785714285716,3864.8214285714284,1429.2857142857142,2200.0,2829.0714285714284,2133.0714285714284,1477.8214285714287,1489.5357142857142,2832.0714285714284
d_112,2664,2213,3551,1381,2054,2341,1942,1553,1389,2561,2011-05-20,2847.714285714286,2238.464285714286,3850.964285714286,1424.5357142857142,2197.8571428571427,2805.1071428571427,2116.1428571428573,1475.392857142857,1489.4285714285713,2825.0714285714284
d_113,3463,2742,4247,1555,2507,3161,2620,2070,1656,3091,2011-05-21,2821.8571428571427,2229.25,3839.1785714285716,1415.3214285714287,2205.1071428571427,2787.1428571428573,2107.3928571428573,1482.607142857143,1486.7857142857142,2808.0714285714284
d_114,3597,2600,4475,1629,2472,3454,2592,1473,1144,2810,2011-05-22,2845.1071428571427,2220.8928571428573,3838.9285714285716,1421.392857142857,2205.8571428571427,2792.3928571428573,2123.5714285714284,1500.5357142857142,1493.75,2819.8571428571427
d_115,2461,1877,3637,1371,1889,2659,1997,1264,1315,2484,2011-05-23,2845.8928571428573,2218.214285714286,3849.6785714285716,1429.7142857142858,2207.8928571428573,2795.5,2125.785714285714,1499.4285714285713,1496.25,2827.8571428571427
d_116,2160,1691,3364,1326,1633,2204,1976,1266,1270,2313,2011-05-24,2848.5714285714284,2212.714285714286,3857.5,1437.75,2202.75,2800.035714285714,2136.3214285714284,1501.6785714285713,1498.0714285714287,2839.75
d_117,2251,1786,3429,1369,1809,2300,1849,1208,1233,1824,2011-05-25,2854.1071428571427,2210.3928571428573,3870.6071428571427,1446.4285714285713,2208.3214285714284,2806.75,2145.0714285714284,1504.642857142857,1496.107142857143,2833.035714285714
d_118,2296,2081,3501,1298,1769,2424,2090,1351,1446,2224,2011-05-26,2861.6071428571427,2220.0714285714284,3891.0,1452.607142857143,2220.1428571428573,2813.8571428571427,2158.6785714285716,1503.25,1502.9642857142858,2834.6785714285716
d_119,2642,2476,3707,1406,1809,2508,2026,1548,1556,2803,2011-05-27,2860.4285714285716,2226.035714285714,3907.6785714285716,1449.0357142857142,2218.75,2804.714285714286,2166.035714285714,1494.142857142857,1498.7142857142858,2824.25
d_120,3214,2459,3920,1366,2245,3383,2658,1835,1588,2859,2011-05-28,2848.0714285714284,2204.8928571428573,3896.0,1441.75,2206.8928571428573,2805.0,2179.25,1482.25,1488.392857142857,2805.3571428571427
d_121,3202,2539,3951,1423,2286,2670,2295,1335,1126,2622,2011-05-29,2831.4285714285716,2189.9285714285716,3873.9285714285716,1428.2142857142858,2179.5,2759.964285714286,2166.214285714286,1468.2857142857142,1470.0714285714287,2790.464285714286
d_122,2884,2336,4103,1445,2072,2743,2337,1158,1243,2217,2011-05-30,2830.464285714286,2203.4285714285716,3868.8571428571427,1424.7142857142858,2187.1785714285716,2770.6785714285716,2184.5,1464.607142857143,1456.7857142857142,2756.1071428571427
d_123,2156,1693,3569,1325,1769,2175,1921,1273,1443,2231,2011-05-31,2806.0714285714284,2192.3928571428573,3841.0,1419.2142857142858,2174.464285714286,2755.964285714286,2173.6428571428573,1457.7142857142858,1447.7142857142858,2717.535714285714
d_124,2529,1720,4210,1203,2528,2906,2346,1404,1728,2591,2011-06-01,2803.1785714285716,2188.6071428571427,3854.8571428571427,1414.392857142857,2204.785714285714,2774.035714285714,2197.0,1461.75,1451.4642857142858,2721.5
d_125,2652,2022,3896,1319,2036,2540,2086,1349,1636,3145,2011-06-02,2812.75,2189.035714285714,3865.035714285714,1415.9285714285713,2204.0,2777.1785714285716,2205.0,1459.7142857142858,1457.75,2738.6428571428573
d_126,3200,2276,4681,1631,2641,2864,2625,1748,1975,3140,2011-06-03,2815.4285714285716,2190.9285714285716,3897.5,1420.7142857142858,2193.3571428571427,2779.3214285714284,2220.8571428571427,1469.6785714285713,1477.4285714285713,2741.785714285714
d_127,3942,2737,5390,1661,2661,3355,2737,2078,2148,3601,2011-06-04,2819.9285714285716,2195.5714285714284,3930.8928571428573,1426.1785714285713,2186.0714285714284,2777.1071428571427,2226.4285714285716,1472.25,1490.9285714285713,2749.4285714285716
