d,total_sales,date,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,rolling_28_sales
d_29,29908,2011-02-26,Saturday,1,2,2011,,,0,0,0,26141.428571428572
d_30,28707,2011-02-27,Sunday,2,2,2011,,,0,0,0,26032.785714285714
d_31,21240,2011-02-28,Monday,3,2,2011,,,0,0,0,25941.964285714286
d_32,22872,2011-03-01,Tuesday,4,3,2011,,,1,1,0,25851.25
d_33,22046,2011-03-02,Wednesday,5,3,2011,,,1,0,1,25954.821428571428
d_34,23475,2011-03-03,Thursday,6,3,2011,,,1,1,1,25749.964285714286
d_35,23572,2011-03-04,Friday,7,3,2011,,,1,0,0,25591.464285714286
d_36,31202,2011-03-05,Saturday,1,3,2011,,,1,1,1,25351.10714285714
d_37,34876,2011-03-06,Sunday,2,3,2011,,,1,1,1,25427.535714285714
d_38,24562,2011-03-07,Monday,3,3,2011,,,1,1,0,25391.464285714286
d_39,22752,2011-03-08,Tuesday,4,3,2011,,,1,0,1,25380.071428571428
d_40,22560,2011-03-09,Wednesday,5,3,2011,LentStart,Religious,1,1,1,25340.85714285714
d_41,22626,2011-03-10,Thursday,6,3,2011,,,1,0,0,25300.5
d_42,25572,2011-03-11,Friday,7,3,2011,,,0,1,1,25269.321428571428
d_43,32225,2011-03-12,Saturday,1,3,2011,,,0,1,1,25176.178571428572
d_44,31417,2011-03-13,Sunday,2,3,2011,,,0,1,0,24998.928571428572
d_45,24935,2011-03-14,Monday,3,3,2011,,,0,0,1,25110.75
d_46,24021,2011-03-15,Tuesday,4,3,2011,,,0,1,1,25109.0
d_47,22765,2011-03-16,Wednesday,5,3,2011,LentWeek2,Religious,0,0,0,25156.214285714286
d_48,21779,2011-03-17,Thursday,6,3,2011,StPatricksDay,Cultural,0,0,0,25208.39285714286
d_49,23855,2011-03-18,Friday,7,3,2011,,,0,0,0,25213.178571428572
d_50,30599,2011-03-19,Saturday,1,3,2011,,,0,0,0,25174.25
d_51,29643,2011-03-20,Sunday,2,3,2011,Purim End,Religious,0,0,0,25187.10714285714
d_52,23101,2011-03-21,Monday,3,3,2011,,,0,0,0,25156.214285714286
d_53,20492,2011-03-22,Tuesday,4,3,2011,,,0,0,0,25155.89285714286
d_54,19230,2011-03-23,Wednesday,5,3,2011,,,0,0,0,25101.35714285714
d_55,18854,2011-03-24,Thursday,6,3,2011,,,0,0,0,25050.535714285714
d_56,23350,2011-03-25,Friday,7,3,2011,,,0,0,0,25079.85714285714
d_57,29620,2011-03-26,Saturday,1,3,2011,,,0,0,0,25069.571428571428
d_58,29866,2011-03-27,Sunday,2,3,2011,,,0,0,0,25110.964285714286
d_59,21449,2011-03-28,Monday,3,3,2011,,,0,0,0,25118.428571428572
d_60,19581,2011-03-29,Tuesday,4,3,2011,,,0,0,0,25000.89285714286
d_61,18928,2011-03-30,Wednesday,5,3,2011,,,0,0,0,24889.535714285714
d_62,21742,2011-03-31,Thursday,6,3,2011,,,0,0,0,24827.64285714286
d_63,28309,2011-04-01,Friday,7,4,2011,,,1,1,0,24996.821428571428
d_64,33478,2011-04-02,Saturday,1,4,2011,,,1,0,1,25078.10714285714
d_65,33058,2011-04-03,Sunday,2,4,2011,,,1,1,1,25013.178571428572
d_66,24852,2011-04-04,Monday,3,4,2011,,,1,0,0,25023.535714285714
d_67,23581,2011-04-05,Tuesday,4,4,2011,,,1,1,1,25053.14285714286
d_68,22656,2011-04-06,Wednesday,5,4,2011,,,1,1,1,25056.571428571428
d_69,22901,2011-04-07,Thursday,6,4,2011,,,1,1,0,25066.39285714286
d_70,24754,2011-04-08,Friday,7,4,2011,,,1,0,1,25037.178571428572
d_71,31745,2011-04-09,Saturday,1,4,2011,,,1,1,1,25020.035714285714
d_72,31536,2011-04-10,Sunday,2,4,2011,,,1,0,0,25024.285714285714
d_73,24829,2011-04-11,Monday,3,4,2011,,,0,1,1,25020.5
d_74,23218,2011-04-12,Tuesday,4,4,2011,,,0,1,1,24991.821428571428
d_75,21611,2011-04-13,Wednesday,5,4,2011,,,0,1,0,24950.60714285714
d_76,21964,2011-04-14,Thursday,6,4,2011,,,0,0,1,24957.214285714286
d_77,25482,2011-04-15,Friday,7,4,2011,,,0,1,1,25015.321428571428
d_78,29234,2011-04-16,Saturday,1,4,2011,,,0,0,0,24966.571428571428
d_79,29787,2011-04-17,Sunday,2,4,2011,,,0,0,0,24971.714285714286
d_80,22389,2011-04-18,Monday,3,4,2011,,,0,0,0,24946.285714285714
d_81,19474,2011-04-19,Tuesday,4,4,2011,,,0,0,0,24909.928571428572
d_82,20188,2011-04-20,Wednesday,5,4,2011,,,0,0,0,24944.14285714286
d_83,19768,2011-04-21,Thursday,6,4,2011,,,0,0,0,24976.785714285714
d_84,24279,2011-04-22,Friday,7,4,2011,,,0,0,0,25009.964285714286
d_85,29575,2011-04-23,Saturday,1,4,2011,,,0,0,0,25008.35714285714
d_86,24018,2011-04-24,Sunday,2,4,2011,OrthodoxEaster,Religious,0,0,0,24799.5
d_87,20004,2011-04-25,Monday,3,4,2011,,,0,0,0,24747.89285714286
d_88,18113,2011-04-26,Tuesday,4,4,2011,Pesach End,Religious,0,0,0,24695.464285714286
d_89,17929,2011-04-27,Wednesday,5,4,2011,,,0,0,0,24659.785714285714
d_90,18145,2011-04-28,Thursday,6,4,2011,,,0,0,0,24531.321428571428
d_91,22735,2011-04-29,Friday,7,4,2011,,,0,0,0,24332.25
d_92,28101,2011-04-30,Saturday,1,4,2011,,,0,0,0,24140.214285714286
d_93,29045,2011-05-01,Sunday,2,5,2011,,,1,1,0,23996.89285714286
d_94,22837,2011-05-02,Monday,3,5,2011,,,1,0,1,23924.928571428572
d_95,24080,2011-05-03,Tuesday,4,5,2011,,,1,1,1,23942.75
d_96,20761,2011-05-04,Wednesday,5,5,2011,,,1,0,0,23875.071428571428
d_97,21184,2011-05-05,Thursday,6,5,2011,Cinco De Mayo,Cultural,1,1,1,23813.75
d_98,24486,2011-05-06,Friday,7,5,2011,,,1,1,1,23804.178571428572
d_99,28412,2011-05-07,Saturday,1,5,2011,,,1,1,0,23685.14285714286
d_100,23688,2011-05-08,Sunday,2,5,2011,Mother's day,Cultural,1,0,1,23404.85714285714
d_101,25024,2011-05-09,Monday,3,5,2011,,,1,1,1,23411.821428571428
d_102,22231,2011-05-10,Tuesday,4,5,2011,,,1,0,0,23376.571428571428
d_103,22165,2011-05-11,Wednesday,5,5,2011,,,0,1,1,23396.35714285714
d_104,22413,2011-05-12,Thursday,6,5,2011,,,0,1,1,23412.39285714286
d_105,25648,2011-05-13,Friday,7,5,2011,,,0,1,0,23418.321428571428
d_106,28736,2011-05-14,Saturday,1,5,2011,,,0,0,1,23400.535714285714
d_107,31320,2011-05-15,Sunday,2,5,2011,,,0,1,1,23455.285714285714
d_108,22213,2011-05-16,Monday,3,5,2011,,,0,0,0,23449.0
d_109,19613,2011-05-17,Tuesday,4,5,2011,,,0,0,0,23453.964285714286
d_110,18770,2011-05-18,Wednesday,5,5,2011,,,0,0,0,23403.321428571428
d_111,18684,2011-05-19,Thursday,6,5,2011,,,0,0,0,23364.60714285714
d_112,21649,2011-05-20,Friday,7,5,2011,,,0,0,0,23270.678571428572
d_113,27112,2011-05-21,Saturday,1,5,2011,,,0,0,0,23182.714285714286
d_114,26246,2011-05-22,Sunday,2,5,2011,,,0,0,0,23262.285714285714
d_115,20954,2011-05-23,Monday,3,5,2011,,,0,0,0,23296.214285714286
d_116,19203,2011-05-24,Tuesday,4,5,2011,,,0,0,0,23335.14285714286
d_117,19058,2011-05-25,Wednesday,5,5,2011,,,0,0,0,23375.464285714286
d_118,20480,2011-05-26,Thursday,6,5,2011,,,0,0,0,23458.85714285714
d_119,22481,2011-05-27,Friday,7,5,2011,,,0,0,0,23449.785714285714
d_120,25527,2011-05-28,Saturday,1,5,2011,,,0,0,0,23357.85714285714
d_121,23449,2011-05-29,Sunday,2,5,2011,,,0,0,0,23158.0
d_122,22538,2011-05-30,Monday,3,5,2011,MemorialDay,National,0,0,0,23147.321428571428
d_123,19555,2011-05-31,Tuesday,4,5,2011,NBAFinalsStart,Sporting,0,0,0,22985.714285714286
d_124,23165,2011-06-01,Wednesday,5,6,2011,,,1,1,0,23071.571428571428
d_125,22681,2011-06-02,Thursday,6,6,2011,,,1,0,1,23125.035714285714
d_126,26781,2011-06-03,Friday,7,6,2011,,,1,1,1,23207.0
d_127,30310,2011-06-04,Saturday,1,6,2011,,,1,0,0,23274.785714285714
d_128,31604,2011-06-05,Sunday,2,6,2011,,,1,1,1,23557.5
d_129,26685,2011-06-06,Monday,3,6,2011,,,1,1,1,23616.821428571428
d_130,25089,2011-06-07,Tuesday,4,6,2011,,,1,1,0,23718.89285714286
d_131,24453,2011-06-08,Wednesday,5,6,2011,,,1,0,1,23800.60714285714
d_132,24782,2011-06-09,Thursday,6,6,2011,,,1,1,1,23885.214285714286
d_133,26419,2011-06-10,Friday,7,6,2011,,,1,0,0,23912.75
d_134,29940,2011-06-11,Saturday,1,6,2011,,,0,1,1,23955.75
d_135,31094,2011-06-12,Sunday,2,6,2011,NBAFinalsEnd,Sporting,0,1,1,23947.678571428572
d_136,25752,2011-06-13,Monday,3,6,2011,,,0,1,0,24074.071428571428
d_137,24155,2011-06-14,Tuesday,4,6,2011,,,0,0,1,24236.285714285714
d_138,25258,2011-06-15,Wednesday,5,6,2011,,,0,1,1,24468.0
d_139,22706,2011-06-16,Thursday,6,6,2011,,,0,0,0,24611.64285714286
d_140,24712,2011-06-17,Friday,7,6,2011,,,0,0,0,24721.035714285714
d_141,28825,2011-06-18,Saturday,1,6,2011,,,0,0,0,24782.214285714286
d_142,26106,2011-06-19,Sunday,2,6,2011,Father's day,Cultural,0,0,0,24777.214285714286
d_143,24261,2011-06-20,Monday,3,6,2011,,,0,0,0,24895.321428571428
d_144,21810,2011-06-21,Tuesday,4,6,2011,,,0,0,0,24988.428571428572
d_145,21401,2011-06-22,Wednesday,5,6,2011,,,0,0,0,25072.10714285714
d_146,22780,2011-06-23,Thursday,6,6,2011,,,0,0,0,25154.25
d_147,24638,2011-06-24,Friday,7,6,2011,,,0,0,0,25231.285714285714
d_148,26482,2011-06-25,Saturday,1,6,2011,,,0,0,0,25265.39285714286
d_149,27668,2011-06-26,Sunday,2,6,2011,,,0,0,0,25416.071428571428
d_150,22642,2011-06-27,Monday,3,6,2011,,,0,0,0,25419.785714285714
d_151,19800,2011-06-28,Tuesday,4,6,2011,,,0,0,0,25428.535714285714
d_152,19930,2011-06-29,Wednesday,5,6,2011,,,0,0,0,25313.0
d_153,21451,2011-06-30,Thursday,6,6,2011,,,0,0,0,25269.071428571428
d_154,31033,2011-07-01,Friday,7,7,2011,,,1,1,0,25420.928571428572
d_155,33001,2011-07-02,Saturday,1,7,2011,,,1,0,1,25517.035714285714
d_156,29173,2011-07-03,Sunday,2,7,2011,,,1,1,1,25430.214285714286
d_157,23033,2011-07-04,Monday,3,7,2011,IndependenceDay,National,1,0,0,25299.785714285714
d_158,26596,2011-07-05,Tuesday,4,7,2011,,,1,1,1,25353.60714285714
d_159,26602,2011-07-06,Wednesday,5,7,2011,,,1,1,1,25430.35714285714
d_160,26727,2011-07-07,Thursday,6,7,2011,,,1,1,0,25499.821428571428
d_161,27679,2011-07-08,Friday,7,7,2011,,,1,0,1,25544.821428571428
d_162,32486,2011-07-09,Saturday,1,7,2011,,,1,1,1,25635.75
d_163,31539,2011-07-10,Sunday,2,7,2011,,,1,0,0,25651.64285714286
d_164,26592,2011-07-11,Monday,3,7,2011,,,0,1,1,25681.64285714286
d_165,24632,2011-07-12,Tuesday,4,7,2011,,,0,1,1,25698.678571428572
d_166,23445,2011-07-13,Wednesday,5,7,2011,,,0,1,0,25633.928571428572
d_167,23447,2011-07-14,Thursday,6,7,2011,,,0,0,1,25660.39285714286
d_168,27349,2011-07-15,Friday,7,7,2011,,,0,1,1,25754.571428571428
d_169,30869,2011-07-16,Saturday,1,7,2011,,,0,0,0,25827.571428571428
d_170,30334,2011-07-17,Sunday,2,7,2011,,,0,0,0,25978.571428571428
d_171,24639,2011-07-18,Monday,3,7,2011,,,0,0,0,25992.071428571428
d_172,21931,2011-07-19,Tuesday,4,7,2011,,,0,0,0,25996.39285714286
d_173,22487,2011-07-20,Wednesday,5,7,2011,,,0,0,0,26035.178571428572
d_174,22778,2011-07-21,Thursday,6,7,2011,,,0,0,0,26035.10714285714
d_175,26356,2011-07-22,Friday,7,7,2011,,,0,0,0,26096.464285714286
d_176,30284,2011-07-23,Saturday,1,7,2011,,,0,0,0,26232.25
d_177,28799,2011-07-24,Sunday,2,7,2011,,,0,0,0,26272.64285714286
d_178,22895,2011-07-25,Monday,3,7,2011,,,0,0,0,26281.678571428572
d_179,21195,2011-07-26,Tuesday,4,7,2011,,,0,0,0,26331.5
d_180,20504,2011-07-27,Wednesday,5,7,2011,,,0,0,0,26352.0
d_181,21243,2011-07-28,Thursday,6,7,2011,,,0,0,0,26344.571428571428
d_182,24542,2011-07-29,Friday,7,7,2011,,,0,0,0,26112.75
d_183,28953,2011-07-30,Saturday,1,7,2011,,,0,0,0,25968.178571428572
d_184,28677,2011-07-31,Sunday,2,7,2011,,,0,0,0,25950.464285714286
d_185,26607,2011-08-01,Monday,3,8,2011,Ramadan starts,Religious,1,1,0,26078.10714285714
d_186,25475,2011-08-02,Tuesday,4,8,2011,,,1,0,1,26038.071428571428
d_187,27237,2011-08-03,Wednesday,5,8,2011,,,1,1,1,26060.75
d_188,23713,2011-08-04,Thursday,6,8,2011,,,1,0,0,25953.10714285714
d_189,26594,2011-08-05,Friday,7,8,2011,,,1,1,1,25914.35714285714
d_190,31959,2011-08-06,Saturday,1,8,2011,,,1,1,1,25895.535714285714
d_191,32006,2011-08-07,Sunday,2,8,2011,,,1,1,0,25912.214285714286
d_192,26354,2011-08-08,Monday,3,8,2011,,,1,0,1,25903.714285714286
d_193,26213,2011-08-09,Tuesday,4,8,2011,,,1,1,1,25960.178571428572
d_194,24578,2011-08-10,Wednesday,5,8,2011,,,1,0,0,26000.64285714286
d_195,24708,2011-08-11,Thursday,6,8,2011,,,0,1,1,26045.678571428572
d_196,28544,2011-08-12,Friday,7,8,2011,,,0,1,1,26088.35714285714
d_197,33003,2011-08-13,Saturday,1,8,2011,,,0,1,0,26164.571428571428
d_198,33909,2011-08-14,Sunday,2,8,2011,,,0,0,1,26292.25
d_199,28511,2011-08-15,Monday,3,8,2011,,,0,1,1,26430.535714285714
d_200,25266,2011-08-16,Tuesday,4,8,2011,,,0,0,0,26549.64285714286
d_201,23681,2011-08-17,Wednesday,5,8,2011,,,0,0,0,26592.285714285714
d_202,23376,2011-08-18,Thursday,6,8,2011,,,0,0,0,26613.64285714286
d_203,27004,2011-08-19,Friday,7,8,2011,,,0,0,0,26636.785714285714
d_204,32258,2011-08-20,Saturday,1,8,2011,,,0,0,0,26707.285714285714
d_205,33973,2011-08-21,Sunday,2,8,2011,,,0,0,0,26892.071428571428
d_206,25324,2011-08-22,Monday,3,8,2011,,,0,0,0,26978.821428571428
d_207,22617,2011-08-23,Tuesday,4,8,2011,,,0,0,0,27029.60714285714
d_208,21935,2011-08-24,Wednesday,5,8,2011,,,0,0,0,27080.714285714286
d_209,21414,2011-08-25,Thursday,6,8,2011,,,0,0,0,27086.821428571428
d_210,24268,2011-08-26,Friday,7,8,2011,,,0,0,0,27077.035714285714
d_211,30383,2011-08-27,Saturday,1,8,2011,,,0,0,0,27128.10714285714
d_212,30626,2011-08-28,Sunday,2,8,2011,,,0,0,0,27197.714285714286
d_213,22085,2011-08-29,Monday,3,8,2011,,,0,0,0,27036.214285714286
d_214,20350,2011-08-30,Tuesday,4,8,2011,,,0,0,0,26853.178571428572
d_215,21723,2011-08-31,Wednesday,5,8,2011,Eid al-Fitr,Religious,0,0,0,26656.25
d_216,26299,2011-09-01,Thursday,6,9,2011,,,1,1,0,26748.60714285714
d_217,29208,2011-09-02,Friday,7,9,2011,,,1,0,1,26841.964285714286
d_218,34032,2011-09-03,Saturday,1,9,2011,,,1,1,1,26916.0
d_219,26925,2011-09-04,Sunday,2,9,2011,,,1,0,0,26734.535714285714
d_220,30158,2011-09-05,Monday,3,9,2011,LaborDay,National,1,1,1,26870.39285714286
d_221,26134,2011-09-06,Tuesday,4,9,2011,,,1,1,1,26867.571428571428
d_222,24445,2011-09-07,Wednesday,5,9,2011,,,1,1,0,26862.821428571428
d_223,24048,2011-09-08,Thursday,6,9,2011,,,1,0,1,26839.25
d_224,28246,2011-09-09,Friday,7,9,2011,,,1,1,1,26828.60714285714
d_225,33030,2011-09-10,Saturday,1,9,2011,,,1,0,0,26829.571428571428
d_226,34632,2011-09-11,Sunday,2,9,2011,,,0,1,1,26855.39285714286
d_227,26138,2011-09-12,Monday,3,9,2011,,,0,1,1,26770.64285714286
d_228,24645,2011-09-13,Tuesday,4,9,2011,,,0,1,0,26748.464285714286
d_229,23505,2011-09-14,Wednesday,5,9,2011,,,0,0,1,26742.178571428572
d_230,26343,2011-09-15,Thursday,6,9,2011,,,0,1,1,26848.14285714286
d_231,26933,2011-09-16,Friday,7,9,2011,,,0,0,0,26845.60714285714
d_232,32195,2011-09-17,Saturday,1,9,2011,,,0,0,0,26843.35714285714
d_233,32034,2011-09-18,Sunday,2,9,2011,,,0,0,0,26774.10714285714
d_234,24367,2011-09-19,Monday,3,9,2011,,,0,0,0,26739.928571428572
d_235,22675,2011-09-20,Tuesday,4,9,2011,,,0,0,0,26742.0
d_236,21796,2011-09-21,Wednesday,5,9,2011,,,0,0,0,26737.035714285714
d_237,21859,2011-09-22,Thursday,6,9,2011,,,0,0,0,26752.928571428572
d_238,26706,2011-09-23,Friday,7,9,2011,,,0,0,0,26840.0
d_239,32466,2011-09-24,Saturday,1,9,2011,,,0,0,0,26914.39285714286
d_240,33228,2011-09-25,Sunday,2,9,2011,,,0,0,0,27007.321428571428
d_241,24090,2011-09-26,Monday,3,9,2011,,,0,0,0,27078.928571428572
d_242,22788,2011-09-27,Tuesday,4,9,2011,,,0,0,0,27166.0
d_243,22193,2011-09-28,Wednesday,5,9,2011,,,0,0,0,27182.785714285714
d_244,22383,2011-09-29,Thursday,6,9,2011,,,0,0,0,27042.928571428572
d_245,30182,2011-09-30,Friday,7,9,2011,,,0,0,0,27077.714285714286
d_246,39312,2011-10-01,Saturday,1,10,2011,,,1,1,0,27266.285714285714
d_247,37214,2011-10-02,Sunday,2,10,2011,,,1,0,1,27633.75
d_248,30455,2011-10-03,Monday,3,10,2011,,,1,1,1,27644.35714285714
d_249,26114,2011-10-04,Tuesday,4,10,2011,,,1,0,0,27643.64285714286
d_250,25913,2011-10-05,Wednesday,5,10,2011,,,1,1,1,27696.071428571428
d_251,26066,2011-10-06,Thursday,6,10,2011,,,1,1,1,27768.14285714286
d_252,29985,2011-10-07,Friday,7,10,2011,,,1,1,0,27830.25
d_253,35930,2011-10-08,Saturday,1,10,2011,,,1,0,1,27933.821428571428
d_254,35940,2011-10-09,Sunday,2,10,2011,,,1,1,1,27980.535714285714
d_255,29401,2011-10-10,Monday,3,10,2011,ColumbusDay,National,1,0,0,28097.071428571428
d_256,27427,2011-10-11,Tuesday,4,10,2011,,,0,1,1,28196.428571428572
d_257,27414,2011-10-12,Wednesday,5,10,2011,,,0,1,1,28336.035714285714
d_258,26116,2011-10-13,Thursday,6,10,2011,,,0,1,0,28327.928571428572
d_259,29885,2011-10-14,Friday,7,10,2011,,,0,0,1,28433.35714285714
d_260,38426,2011-10-15,Saturday,1,10,2011,,,0,1,1,28655.89285714286
d_261,36127,2011-10-16,Sunday,2,10,2011,,,0,0,0,28802.071428571428
d_262,27592,2011-10-17,Monday,3,10,2011,,,0,0,0,28917.25
d_263,24202,2011-10-18,Tuesday,4,10,2011,,,0,0,0,28971.785714285714
d_264,22441,2011-10-19,Wednesday,5,10,2011,,,0,0,0,28994.821428571428
d_265,22402,2011-10-20,Thursday,6,10,2011,,,0,0,0,29014.214285714286
d_266,27130,2011-10-21,Friday,7,10,2011,,,0,0,0,29029.35714285714
d_267,33151,2011-10-22,Saturday,1,10,2011,,,0,0,0,29053.821428571428
d_268,32876,2011-10-23,Sunday,2,10,2011,,,0,0,0,29041.25
d_269,24516,2011-10-24,Monday,3,10,2011,,,0,0,0,29056.464285714286
d_270,22437,2011-10-25,Tuesday,4,10,2011,,,0,0,0,29043.928571428572
d_271,22142,2011-10-26,Wednesday,5,10,2011,,,0,0,0,29042.10714285714
d_272,22982,2011-10-27,Thursday,6,10,2011,,,0,0,0,29063.5
d_273,26880,2011-10-28,Friday,7,10,2011,,,0,0,0,28945.571428571428
d_274,33219,2011-10-29,Saturday,1,10,2011,,,0,0,0,28727.964285714286
d_275,31853,2011-10-30,Sunday,2,10,2011,,,0,0,0,28536.5
d_276,22695,2011-10-31,Monday,3,10,2011,Halloween,Cultural,0,0,0,28259.35714285714
d_277,26039,2011-11-01,Tuesday,4,11,2011,,,1,1,0,28256.678571428572
d_278,24808,2011-11-02,Wednesday,5,11,2011,,,1,0,1,28217.214285714286
d_279,27902,2011-11-03,Thursday,6,11,2011,,,1,1,1,28282.785714285714
d_280,28596,2011-11-04,Friday,7,11,2011,,,1,0,0,28233.178571428572
d_281,36887,2011-11-05,Saturday,1,11,2011,,,1,1,1,28267.35714285714
d_282,37887,2011-11-06,Sunday,2,11,2011,,,1,1,1,28336.89285714286
d_283,27278,2011-11-07,Monday,3,11,2011,EidAlAdha,Religious,1,1,0,28261.071428571428
d_284,25188,2011-11-08,Tuesday,4,11,2011,,,1,0,1,28181.10714285714
d_285,26092,2011-11-09,Wednesday,5,11,2011,,,1,1,1,28133.89285714286
d_286,26147,2011-11-10,Thursday,6,11,2011,,,1,0,0,28135.0
d_287,29755,2011-11-11,Friday,7,11,2011,VeteransDay,National,0,1,1,28130.35714285714
d_288,35922,2011-11-12,Saturday,1,11,2011,,,0,1,1,28040.928571428572
d_289,35348,2011-11-13,Sunday,2,11,2011,,,0,1,0,28013.10714285714
d_290,26773,2011-11-14,Monday,3,11,2011,,,0,0,1,27983.85714285714
d_291,26701,2011-11-15,Tuesday,4,11,2011,,,0,1,1,28073.10714285714
d_292,23928,2011-11-16,Wednesday,5,11,2011,,,0,0,0,28126.214285714286
d_293,23114,2011-11-17,Thursday,6,11,2011,,,0,0,0,28151.64285714286
d_294,26507,2011-11-18,Friday,7,11,2011,,,0,0,0,28129.39285714286
d_295,33545,2011-11-19,Saturday,1,11,2011,,,0,0,0,28143.464285714286
d_296,32753,2011-11-20,Sunday,2,11,2011,,,0,0,0,28139.071428571428
d_297,25574,2011-11-21,Monday,3,11,2011,,,0,0,0,28176.85714285714
d_298,25654,2011-11-22,Tuesday,4,11,2011,,,0,0,0,28291.75
d_299,30787,2011-11-23,Wednesday,5,11,2011,,,0,0,0,28600.5
d_300,18427,2011-11-24,Thursday,6,11,2011,Thanksgiving,National,0,0,0,28437.821428571428
d_301,23998,2011-11-25,Friday,7,11,2011,,,0,0,0,28334.89285714286
d_302,25292,2011-11-26,Saturday,1,11,2011,,,0,0,0,28051.785714285714
d_303,27134,2011-11-27,Sunday,2,11,2011,,,0,0,0,27883.25
d_304,22378,2011-11-28,Monday,3,11,2011,,,0,0,0,27871.928571428572
d_305,21584,2011-11-29,Tuesday,4,11,2011,,,0,0,0,27712.821428571428
d_306,21089,2011-11-30,Wednesday,5,11,2011,,,0,0,0,27580.0
d_307,26268,2011-12-01,Thursday,6,12,2011,,,1,1,0,27521.64285714286
d_308,29727,2011-12-02,Friday,7,12,2011,,,1,0,1,27562.035714285714
d_309,38129,2011-12-03,Saturday,1,12,2011,,,1,1,1,27606.39285714286
d_310,35078,2011-12-04,Sunday,2,12,2011,,,1,0,0,27506.071428571428
d_311,29220,2011-12-05,Monday,3,12,2011,,,1,1,1,27575.428571428572
d_312,27267,2011-12-06,Tuesday,4,12,2011,,,1,1,1,27649.678571428572
d_313,25453,2011-12-07,Wednesday,5,12,2011,,,1,1,0,27626.85714285714
d_314,26347,2011-12-08,Thursday,6,12,2011,,,1,0,1,27634.0
d_315,29438,2011-12-09,Friday,7,12,2011,,,1,1,1,27622.678571428572
d_316,34786,2011-12-10,Saturday,1,12,2011,,,1,0,0,27582.10714285714
d_317,35743,2011-12-11,Sunday,2,12,2011,,,0,1,1,27596.214285714286
d_318,29151,2011-12-12,Monday,3,12,2011,,,0,1,1,27681.14285714286
d_319,26913,2011-12-13,Tuesday,4,12,2011,,,0,1,0,27688.714285714286
d_320,26794,2011-12-14,Wednesday,5,12,2011,,,0,0,1,27791.071428571428
d_321,29644,2011-12-15,Thursday,6,12,2011,,,0,1,1,28024.285714285714
d_322,28885,2011-12-16,Friday,7,12,2011,,,0,0,0,28109.214285714286
d_323,34159,2011-12-17,Saturday,1,12,2011,,,0,0,0,28131.14285714286
d_324,32087,2011-12-18,Sunday,2,12,2011,,,0,0,0,28107.35714285714
d_325,27068,2011-12-19,Monday,3,12,2011,,,0,0,0,28160.714285714286
d_326,26262,2011-12-20,Tuesday,4,12,2011,,,0,0,0,28182.428571428572
d_327,26662,2011-12-21,Wednesday,5,12,2011,,,0,0,0,28035.10714285714
d_328,28182,2011-12-22,Thursday,6,12,2011,,,0,0,0,28383.5
d_329,34646,2011-12-23,Friday,7,12,2011,,,0,0,0,28763.785714285714
d_330,29958,2011-12-24,Saturday,1,12,2011,,,0,0,0,28930.428571428572
d_331,13,2011-12-25,Sunday,2,12,2011,Christmas,National,0,0,0,27961.821428571428
d_332,28032,2011-12-26,Monday,3,12,2011,,,0,0,0,28163.75
