demand_type,event_type_label,event_name_label,series_count,event_dates,median_event_uplift_pct,mean_event_uplift_pct,positive_series_pct
intermittent,Religious,Eid al-Fitr,200,5,1.187,16.252,51.0
intermittent,National,LaborDay,200,5,2.141,12.568,52.0
intermittent,Religious,OrthodoxEaster,200,3,7.477,51.026,53.0
lumpy,National,Christmas,200,5,-100.0,-100.0,0.0
lumpy,National,Thanksgiving,200,5,-75.018,-47.669,13.5
lumpy,Sporting,NBAFinalsEnd,200,4,-38.949,-16.812,32.5
lumpy,National,NewYear,200,5,-38.123,-32.518,27.0
lumpy,National,IndependenceDay,200,5,-34.388,-8.211,29.5
lumpy,Sporting,NBAFinalsStart,200,5,-33.531,-21.261,31.5
lumpy,National,ColumbusDay,200,5,-31.153,2.819,36.0
lumpy,Religious,EidAlAdha,200,5,-29.638,-15.185,37.0
lumpy,Cultural,Father's day,200,4,-28.405,-14.417,33.0
lumpy,National,MemorialDay,200,5,-27.93,-3.86,34.5
lumpy,Religious,LentWeek2,200,6,-27.754,-16.287,32.0
lumpy,National,MartinLutherKingDay,200,5,-25.319,-8.418,37.5
lumpy,Multiple,Multiple events,200,4,-24.469,-2.893,36.5
lumpy,Religious,Eid al-Fitr,200,5,-23.011,-5.485,34.5
lumpy,Cultural,Halloween,200,5,-19.762,-0.076,34.0
lumpy,Religious,Chanukah End,200,5,-18.788,13.195,39.0
lumpy,Cultural,ValentinesDay,200,6,-18.681,0.318,39.0
lumpy,Religious,LentStart,200,6,-18.459,-11.336,36.5
lumpy,Religious,OrthodoxChristmas,200,5,-18.304,3.802,42.5
lumpy,National,PresidentsDay,200,6,-15.635,-1.038,43.0
lumpy,Cultural,StPatricksDay,200,6,-15.453,5.956,39.5
lumpy,National,VeteransDay,200,5,-13.129,4.918,40.0
lumpy,Cultural,Mother's day,200,6,-10.113,14.375,46.0
lumpy,Religious,Ramadan starts,200,5,-8.657,8.058,47.0
lumpy,Religious,Purim End,200,6,-7.495,-3.854,45.0
lumpy,Cultural,Cinco De Mayo,200,5,-6.935,16.967,47.0
lumpy,Cultural,Easter,200,4,-3.315,25.719,46.5
lumpy,Religious,Pesach End,200,6,-2.812,9.441,47.0
lumpy,Sporting,SuperBowl,200,6,-0.366,14.598,50.0
lumpy,National,LaborDay,200,5,2.305,20.978,51.5
lumpy,Religious,OrthodoxEaster,200,3,11.717,49.221,56.0
